source,target
1,46
1,37
1,6
1,34
1,13
1,19
1,39
1,14
1,2
1,25
1,38
2,21
2,3
2,26
3,8
3,34
4,46
4,25
4,31
4,22
4,40
5,12
5,3
6,5
6,40
6,10
6,32
6,46
7,33
7,5
7,14
7,1
7,12
7,8
7,9
7,35
7,17
7,19
7,25
7,46
7,32
8,30
8,1
8,15
8,14
8,31
8,33
8,36
8,39
8,49
8,47
9,21
9,47
9,13
9,2
9,6
9,31
9,3
9,16
10,8
10,39
10,15
10,1
10,5
10,46
10,22
10,21
10,11
11,34
11,28
11,39
11,43
11,49
12,30
12,48
12,6
12,9
12,33
12,35
12,3
12,7
13,16
13,10
13,27
13,14
13,45
13,34
13,35
13,12
13,9
13,44
14,18
14,43
14,11
14,19
14,31
14,25
15,32
15,34
15,3
15,17
15,30
15,4
15,24
15,46
15,37
15,28
15,23
15,45
16,34
16,4
16,11
16,9
16,13
16,48
16,37
16,41
16,23
16,32
16,8
16,18
16,1
17,15
17,34
17,21
17,41
18,14
18,43
18,8
18,48
18,33
18,28
18,15
18,20
18,46
18,7
19,49
20,3
20,1
20,33
20,14
21,20
21,44
21,18
21,43
21,3
21,26
21,40
21,16
21,29
21,45
21,32
21,19
21,22
22,8
22,33
22,10
22,34
22,28
22,41
22,47
22,20
23,49
23,2
23,5
23,13
23,39
23,8
23,42
23,10
23,7
23,32
24,18
24,32
24,23
24,8
24,11
24,30
24,45
24,41
24,6
24,2
24,13
24,33
25,17
26,13
26,36
26,14
26,19
26,33
26,38
26,10
26,11
26,1
27,49
27,3
27,13
27,25
28,39
28,50
28,23
28,1
28,42
28,34
28,11
28,22
29,24
29,49
29,41
29,1
29,8
29,46
29,21
30,41
30,49
30,33
30,50
30,5
30,32
30,13
30,11
30,7
30,15
30,19
31,26
31,7
31,9
31,20
31,21
31,43
31,17
31,35
31,4
31,46
31,14
32,6
32,18
32,43
32,26
32,17
32,15
32,49
32,27
32,25
32,7
32,13
32,34
33,37
33,1
34,17
34,40
34,14
34,24
34,22
34,11
34,47
34,44
34,32
34,50
35,25
35,44
35,16
35,23
35,29
35,7
35,17
35,8
35,1
35,40
35,24
35,10
36,7
36,40
36,48
37,34
37,20
37,10
37,24
37,13
37,45
37,7
37,6
37,14
37,18
37,47
37,12
37,38
38,2
38,7
38,12
38,9
38,35
38,32
38,29
38,13
38,3
38,24
38,6
38,40
39,44
39,40
39,28
39,18
39,2
40,28
40,2
40,6
40,7
40,5
40,15
40,45
40,35
40,21
41,50
41,5
42,3
43,22
43,12
43,4
43,16
43,37
43,24
43,41
43,6
43,49
43,26
43,27
43,39
43,38
43,42
43,47
44,17
44,28
44,29
44,48
45,17
45,32
45,37
45,24
45,11
45,42
45,13
45,48
45,44
46,19
46,8
47,13
47,34
47,2
47,7
47,39
47,27
47,24
47,49
47,40
47,9
47,33
47,26
47,28
48,4
48,43
48,44
48,10
48,36
48,1
48,28
48,31
49,47
49,46
49,43
49,48
49,40
49,41
49,30
50,18
50,32
50,23
