agent,agent_preference,num_connections,agent_connections,influence_status
1,even with a mask on coaching baseball practice this morning on a beautiful almost fall day was incredibly refreshing,13,"[23, 26, 37, 21, 5, 49, 4, 43, 22, 9, 25, 38, 45]",
2,if you vote biden you will be singing with a mask on because he will make masks mandatory for life a muffled sebastian bach i wouldn t pay to see you now and certainly not pay to see you with a mask on trump,11,"[43, 14, 27, 3, 19, 35, 38, 44, 34, 22, 30]",
3,if you flagrantly disregard public health guidance and refuse to wear a mask you shouldn t be allowed treatment at all let alone top tier treatment the rest of america can t access,7,"[30, 17, 45, 23, 7, 12, 43]",
4,why in the world do you come into my business and immediately remove pull down your face mask why we are still in the middle of a pandemic,8,"[41, 19, 12, 43, 36, 8, 33, 18]",
5,this guy is garbage and utah needs to get rid of him gitmo would be a good place for him gop sen mitt romney votes with democrats to keep masks mandate for toddlers,5,"[42, 16, 3, 45, 34]",
6,before i got covid i always wore my mask would have it on in the house and car by accident bc i would forget about it after getting sick tho it s been harder to breathe with it on and my face just gets so hot and uncomfortable,5,"[18, 41, 1, 22, 14]",
7,the mask should be over ur nose,7,"[1, 26, 32, 21, 20, 38, 9]",
8,how does the mask make his breath come out of the back of his head,4,"[44, 11, 16, 42]",
9,can you clarify the mask rules and requirements for hoboken parks and playgrounds,1,[35],
10,my favorite thing to do when i see people not wearing a mask is cough as hard as i can right in front of them because the fear in their eyes is always so rewarding,11,"[48, 6, 40, 12, 23, 16, 30, 3, 22, 38, 18]",
11,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,1,[30],
12,this month i personally know people that have gotten covid one of them past away this week please wear a mask,11,"[26, 39, 37, 44, 10, 38, 47, 34, 27, 7, 16]",
13,don t go to a party with a house full of ppl not wasting mask during a pandemic,12,"[1, 44, 27, 12, 5, 47, 38, 11, 42, 15, 7, 49]",
14,get the body i want or break out on my face from having to wear a mask at the gym,3,"[47, 10, 11]",
15,continuing to mask up amp distance reduces the transmission of the virus amp if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,8,"[13, 45, 39, 14, 34, 11, 30, 19]",
16,hispanics people are not follow the rules by wearing a face mask and social distance during sprinkler water hydran on the street,14,"[48, 14, 8, 1, 26, 32, 30, 44, 41, 21, 11, 38, 9, 36]",
17,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,11,"[21, 36, 14, 28, 1, 31, 41, 24, 45, 15, 49]",
18,truth is there s a lot of differing opinions and plenty of studies that say they do help the real problem is that most of the people who are anti mask are just doing it to be jackasses instead of trying to be considerate,15,"[20, 29, 44, 45, 39, 47, 1, 17, 16, 10, 3, 11, 12, 35, 4]",
19,hi everyone plz just wear a mask i don t wanna be unemployed again,5,"[9, 30, 39, 11, 44]",
20,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all,10,"[34, 6, 43, 37, 45, 30, 42, 16, 9, 27]",
21,according to my student yesterday the china virus is a hoax and mask mandates are a way for the government to control all them lib tards sometimes all this is too much,11,"[10, 36, 27, 19, 32, 2, 39, 29, 3, 17, 7]",
22,some of these people s face masks be looking like they stink so bad using the same mask for the past days,5,"[17, 33, 31, 30, 32]",
23,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force,13,"[41, 17, 10, 42, 7, 20, 30, 1, 15, 22, 3, 40, 45]",
24,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,2,"[17, 44]",
25,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,1,[28],
26,passes are solddd outtt but you can still pay at the door mask required,4,"[39, 41, 24, 25]",
27,thanks ctl stay safe friends and wear mask if need to go out,7,"[10, 26, 48, 35, 23, 40, 9]",
28,wait a damn min we gotta wear mask while working out at the gym,8,"[37, 20, 40, 39, 38, 4, 18, 12]",
29,if hes going to be stupid enough not to wear a mask then he deserves what he gets hopefully he doesn t infect anyone else,5,"[7, 50, 37, 43, 40]",
30,i stay home other than the ride to chemo amp when we stop for gas i sit in the car cussing all the non mask wearers do they not care who they may have already killed or may kill i m fighting for my life with st breast cancer don t kill me with covid i want the vaccine,13,"[50, 25, 2, 13, 49, 26, 12, 15, 36, 42, 31, 29, 9]",
31,mask protect other people he only cares about himself,15,"[14, 44, 33, 29, 10, 5, 32, 23, 11, 37, 9, 12, 24, 17, 48]",
32,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,7,"[6, 40, 1, 21, 46, 16, 26]",
33,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,2,"[2, 13]",
34,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,10,"[5, 33, 41, 39, 8, 13, 49, 29, 30, 21]",
35,i did this with one lone mask less man in a ballot recount center,7,"[36, 15, 2, 41, 4, 11, 45]",
36,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame,11,"[44, 19, 33, 24, 37, 6, 27, 30, 42, 29, 46]",
37,the fact that wearing a mask is headline news vs just an assumption is a sad reality imagine seriously think about how you would react to reading the following in january of gov andrew cuomo wears pants as he arrives at the white house,8,"[2, 35, 23, 7, 43, 33, 19, 18]",
38,how i feel after taking off my n mask after every hour shift,10,"[28, 26, 34, 32, 20, 18, 44, 3, 15, 49]",
39,a special shout out goes to mr londono amp ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya,7,"[27, 12, 20, 45, 38, 11, 22]",
40,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,13,"[32, 34, 5, 9, 30, 4, 43, 27, 50, 45, 2, 37, 41]",
41,can we developed a mask or helmet that will protect us from corona and that everyone would have to wear to go outside for a month or that would allow us to open up the economy again,6,"[24, 37, 46, 8, 49, 15]",
42,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe,13,"[46, 34, 3, 16, 15, 12, 11, 27, 4, 40, 6, 48, 35]",
43,your mask go over your nose,13,"[40, 5, 27, 49, 1, 38, 36, 46, 37, 11, 34, 22, 10]",
44,i am not wearing a mask for more months just saying,11,"[10, 50, 15, 13, 29, 1, 16, 49, 20, 41, 30]",
45,cruel and mask mandate don t even belong in the same sentence give me a break,4,"[31, 19, 3, 35]",
46,this man just lowered his mask to cough,6,"[30, 33, 2, 3, 17, 25]",
47,please leep your mask on i don t want you to be taken out by a virus that is not gone,13,"[19, 34, 22, 24, 15, 5, 30, 37, 14, 18, 49, 33, 46]",
48,thank you for requiring mask wearing in the house hall it is unfortunate a selfish delusional minority of house members must be forced to consider the welfare of others,8,"[9, 22, 21, 17, 39, 37, 24, 33]",
