source,target
1,23
1,26
1,37
1,21
1,5
1,49
1,4
1,43
1,22
1,9
1,25
1,38
1,45
2,43
2,14
2,27
2,3
2,19
2,35
2,38
2,44
2,34
2,22
2,30
3,30
3,17
3,45
3,23
3,7
3,12
3,43
4,41
4,19
4,12
4,43
4,36
4,8
4,33
4,18
5,42
5,16
5,3
5,45
5,34
6,18
6,41
6,1
6,22
6,14
7,1
7,26
7,32
7,21
7,20
7,38
7,9
8,44
8,11
8,16
8,42
9,35
10,48
10,6
10,40
10,12
10,23
10,16
10,30
10,3
10,22
10,38
10,18
11,30
12,26
12,39
12,37
12,44
12,10
12,38
12,47
12,34
12,27
12,7
12,16
13,1
13,44
13,27
13,12
13,5
13,47
13,38
13,11
13,42
13,15
13,7
13,49
14,47
14,10
14,11
15,13
15,45
15,39
15,14
15,34
15,11
15,30
15,19
16,48
16,14
16,8
16,1
16,26
16,32
16,30
16,44
16,41
16,21
16,11
16,38
16,9
16,36
17,21
17,36
17,14
17,28
17,1
17,31
17,41
17,24
17,45
17,15
17,49
18,20
18,29
18,44
18,45
18,39
18,47
18,1
18,17
18,16
18,10
18,3
18,11
18,12
18,35
18,4
19,9
19,30
19,39
19,11
19,44
20,34
20,6
20,43
20,37
20,45
20,30
20,42
20,16
20,9
20,27
21,10
21,36
21,27
21,19
21,32
21,2
21,39
21,29
21,3
21,17
21,7
22,17
22,33
22,31
22,30
22,32
23,41
23,17
23,10
23,42
23,7
23,20
23,30
23,1
23,15
23,22
23,3
23,40
23,45
24,17
24,44
25,28
26,39
26,41
26,24
26,25
27,10
27,26
27,48
27,35
27,23
27,40
27,9
28,37
28,20
28,40
28,39
28,38
28,4
28,18
28,12
29,7
29,50
29,37
29,43
29,40
30,50
30,25
30,2
30,13
30,49
30,26
30,12
30,15
30,36
30,42
30,31
30,29
30,9
31,14
31,44
31,33
31,29
31,10
31,5
31,32
31,23
31,11
31,37
31,9
31,12
31,24
31,17
31,48
32,6
32,40
32,1
32,21
32,46
32,16
32,26
33,2
33,13
34,5
34,33
34,41
34,39
34,8
34,13
34,49
34,29
34,30
34,21
35,36
35,15
35,2
35,41
35,4
35,11
35,45
36,44
36,19
36,33
36,24
36,37
36,6
36,27
36,30
36,42
36,29
36,46
37,2
37,35
37,23
37,7
37,43
37,33
37,19
37,18
38,28
38,26
38,34
38,32
38,20
38,18
38,44
38,3
38,15
38,49
39,27
39,12
39,20
39,45
39,38
39,11
39,22
40,32
40,34
40,5
40,9
40,30
40,4
40,43
40,27
40,50
40,45
40,2
40,37
40,41
41,24
41,37
41,46
41,8
41,49
41,15
42,46
42,34
42,3
42,16
42,15
42,12
42,11
42,27
42,4
42,40
42,6
42,48
42,35
43,40
43,5
43,27
43,49
43,1
43,38
43,36
43,46
43,37
43,11
43,34
43,22
43,10
44,10
44,50
44,15
44,13
44,29
44,1
44,16
44,49
44,20
44,41
44,30
45,31
45,19
45,3
45,35
46,30
46,33
46,2
46,3
46,17
46,25
47,19
47,34
47,22
47,24
47,15
47,5
47,30
47,37
47,14
47,18
47,49
47,33
47,46
48,9
48,22
48,21
48,17
48,39
48,37
48,24
48,33
49,14
49,41
49,38
49,16
49,43
49,24
49,31
49,36
49,26
49,45
49,9
49,18
50,8
50,21
50,44
50,33
50,6
50,28
50,2
50,4
50,24
50,40
50,14
50,38
50,35
50,7
50,39
