sender,receiver,message
5,42,this guy is garbage and utah needs to get rid of him gitmo would be a good place for him gop sen mitt romney votes with democrats to keep masks mandate for toddlers
8,42,how does the mask make his breath come out of the back of his head
13,42,don t go to a party with a house full of ppl not wasting mask during a pandemic
20,42,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all
23,42,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force
30,42,i stay home other than the ride to chemo amp when we stop for gas i sit in the car cussing all the non mask wearers do they not care who they may have already killed or may kill i m fighting for my life with st breast cancer don t kill me with covid i want the vaccine
36,42,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
42,3,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,4,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,6,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,11,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,12,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,15,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,16,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,27,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,34,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,35,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,40,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,46,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
42,48,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe
5,42,"What did you wear? Like a mask over your nose? I mean, it really sucks a mask does it, you don't really know it if you go there and just think about it unless you're at work or just in a hot room where people are hysterical or it's just you."
8,42,"I agree with the first one, but I'd prefer a helmet or an airbag than a mask and it's not too distracting."
13,42,"i agree with this, it's a stupid, dumb law."
20,42,"You need to put a tampon on, but you need to wear a mask."
23,42,"You're right about the mask being headline news, but that's not what it sounds like:"
30,42,Tell me about your vote for Romney.
36,42,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
42,3,I think I will be the first one to say this
42,4,I think I will be the first one to say this
42,6,I think I will be the first one to say this
42,11,I think I will be the first one to say this
42,12,I think I will be the first one to say this
42,15,I think I will be the first one to say this
42,16,I think I will be the first one to say this
42,27,I think I will be the first one to say this
42,34,I think I will be the first one to say this
42,35,I think I will be the first one to say this
42,40,I think I will be the first one to say this
42,46,I think I will be the first one to say this
42,48,I think I will be the first one to say this
5,42,"You're right about the new mask being headline news, but that's not what it sounds like: Why don't you come in my business and immediately remove pull down your face mask why we are still in the middle of a pandemic why in the world do you come into my business and immediately remove pull down your face mask why we are still in the middle of a pandemic why in the world do you come into my business and immediately remove pull down your face mask why we are still in the middle of a pandemic why in the world do you come into my business and immediately remove"
8,42,I just drew a picture of myself reeking a huge awe of a mask on coaching baseball practice today. Especially when you remember how it was a beautiful day. I just drew a picture of myself reeking a huge awe of a mask on coaching baseball practice today. Especially when you remember how it was a beautiful day.
