agent,agent_preference,num_connections,agent_connections,influence_status
1,why in the world do you come into my business and immediately remove pull down your face mask why we are still in the middle of a pandemic,5,"[13, 23, 10, 29, 3]",False
2,the mask should be over ur nose,14,"[40, 6, 41, 10, 5, 35, 23, 28, 48, 3, 20, 12, 22, 31]",False
3,can you clarify the mask rules and requirements for hoboken parks and playgrounds,13,"[30, 16, 14, 45, 9, 2, 8, 37, 38, 49, 12, 26, 25]",False
4,my favorite thing to do when i see people not wearing a mask is cough as hard as i can right in front of them because the fear in their eyes is always so rewarding,13,"[6, 30, 43, 36, 37, 11, 8, 25, 46, 28, 17, 10, 22]",False
5,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,11,"[20, 31, 35, 10, 17, 15, 18, 24, 21, 42, 40]",False
6,this month i personally know people that have gotten covid one of them past away this week please wear a mask,8,"[28, 1, 16, 25, 34, 26, 47, 4]",False
7,don t go to a party with a house full of ppl not wasting mask during a pandemic,9,"[13, 4, 12, 21, 11, 41, 30, 44, 27]",False
8,continuing to mask up amp distance reduces the transmission of the virus amp if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,4,"[24, 21, 11, 22]",False
9,hispanics people are not follow the rules by wearing a face mask and social distance during sprinkler water hydran on the street,14,"[38, 27, 44, 24, 30, 18, 15, 23, 47, 41, 13, 39, 46, 34]",False
10,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,13,"[7, 14, 15, 17, 24, 9, 37, 13, 49, 29, 40, 38, 47]",False
11,truth is there s a lot of differing opinions and plenty of studies that say they do help the real problem is that most of the people who are anti mask are just doing it to be jackasses instead of trying to be considerate,6,"[6, 19, 3, 26, 2, 39]",False
12,hi everyone plz just wear a mask i don t wanna be unemployed again,8,"[16, 37, 25, 2, 49, 36, 8, 1]",False
13,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",15,"[36, 40, 3, 7, 15, 6, 19, 26, 24, 42, 35, 2, 1, 44, 16]",True
14,some of these people s face masks be looking like they stink so bad using the same mask for the past days,2,"[22, 44]",False
15,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,10,"[40, 28, 9, 42, 5, 6, 8, 49, 23, 1]",False
16,passes are solddd outtt but you can still pay at the door mask required,9,"[42, 43, 8, 11, 36, 17, 3, 45, 4]",False
17,thanks ctl stay safe friends and wear mask if need to go out,14,"[35, 1, 24, 44, 2, 42, 9, 50, 12, 36, 30, 18, 25, 21]",False
18,if hes going to be stupid enough not to wear a mask then he deserves what he gets hopefully he doesn t infect anyone else,2,"[6, 12]",False
19,i stay home other than the ride to chemo amp when we stop for gas i sit in the car cussing all the non mask wearers do they not care who they may have already killed or may kill i m fighting for my life with st breast cancer don t kill me with covid i want the vaccine,4,"[42, 26, 16, 30]",False
20,mask protect other people he only cares about himself,1,[21],False
21,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,2,"[47, 15]",False
22,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,10,"[39, 42, 12, 35, 3, 41, 23, 13, 44, 27]",False
23,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,8,"[49, 31, 39, 19, 15, 48, 30, 26]",False
24,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",15,"[47, 26, 1, 41, 38, 16, 7, 31, 39, 28, 43, 10, 25, 12, 17]",True
