source,target
1.0,13.0
1.0,23.0
1.0,10.0
1.0,29.0
1.0,3.0
2.0,40.0
2.0,6.0
2.0,41.0
2.0,10.0
2.0,5.0
2.0,35.0
2.0,23.0
2.0,28.0
2.0,48.0
2.0,3.0
2.0,20.0
2.0,12.0
2.0,22.0
2.0,31.0
3.0,30.0
3.0,16.0
3.0,14.0
3.0,45.0
3.0,9.0
3.0,2.0
3.0,8.0
3.0,37.0
3.0,38.0
3.0,49.0
3.0,12.0
3.0,26.0
3.0,25.0
4.0,6.0
4.0,30.0
4.0,43.0
4.0,36.0
4.0,37.0
4.0,11.0
4.0,8.0
4.0,25.0
4.0,46.0
4.0,28.0
4.0,17.0
4.0,10.0
4.0,22.0
5.0,20.0
5.0,31.0
5.0,35.0
5.0,10.0
5.0,17.0
5.0,15.0
5.0,18.0
5.0,24.0
5.0,21.0
5.0,42.0
5.0,40.0
6.0,28.0
6.0,1.0
6.0,16.0
6.0,25.0
6.0,34.0
6.0,26.0
6.0,47.0
6.0,4.0
7.0,13.0
7.0,4.0
7.0,12.0
7.0,21.0
7.0,11.0
7.0,41.0
7.0,30.0
7.0,44.0
7.0,27.0
8.0,24.0
8.0,21.0
8.0,11.0
8.0,22.0
9.0,38.0
9.0,27.0
9.0,44.0
9.0,24.0
9.0,30.0
9.0,18.0
9.0,15.0
9.0,23.0
9.0,47.0
9.0,41.0
9.0,13.0
9.0,39.0
9.0,46.0
9.0,34.0
10.0,7.0
10.0,14.0
10.0,15.0
10.0,17.0
10.0,24.0
10.0,9.0
10.0,37.0
10.0,13.0
10.0,49.0
10.0,29.0
10.0,40.0
10.0,38.0
10.0,47.0
11.0,6.0
11.0,19.0
11.0,3.0
11.0,26.0
11.0,2.0
11.0,39.0
12.0,16.0
12.0,37.0
12.0,25.0
12.0,2.0
12.0,49.0
12.0,36.0
12.0,8.0
12.0,1.0
13.0,36.0
13.0,40.0
13.0,3.0
13.0,7.0
13.0,15.0
13.0,6.0
13.0,19.0
13.0,26.0
13.0,24.0
13.0,42.0
13.0,35.0
13.0,2.0
13.0,1.0
13.0,44.0
13.0,16.0
14.0,22.0
14.0,44.0
15.0,40.0
15.0,28.0
15.0,9.0
15.0,42.0
15.0,5.0
15.0,6.0
15.0,8.0
15.0,49.0
15.0,23.0
15.0,1.0
16.0,42.0
16.0,43.0
16.0,8.0
16.0,11.0
16.0,36.0
16.0,17.0
16.0,3.0
16.0,45.0
16.0,4.0
17.0,35.0
17.0,1.0
17.0,24.0
17.0,44.0
17.0,2.0
17.0,42.0
17.0,9.0
17.0,50.0
17.0,12.0
17.0,36.0
17.0,30.0
17.0,18.0
17.0,25.0
17.0,21.0
18.0,6.0
18.0,12.0
19.0,42.0
19.0,26.0
19.0,16.0
19.0,30.0
20.0,21.0
21.0,47.0
21.0,15.0
22.0,39.0
22.0,42.0
22.0,12.0
22.0,35.0
22.0,3.0
22.0,41.0
22.0,23.0
22.0,13.0
22.0,44.0
22.0,27.0
23.0,49.0
23.0,31.0
23.0,39.0
23.0,19.0
23.0,15.0
23.0,48.0
23.0,30.0
23.0,26.0
24.0,47.0
24.0,26.0
24.0,1.0
24.0,41.0
24.0,38.0
24.0,16.0
24.0,7.0
24.0,31.0
24.0,39.0
24.0,28.0
24.0,43.0
24.0,10.0
24.0,25.0
24.0,12.0
24.0,17.0
25.0,33.0
25.0,38.0
25.0,35.0
25.0,43.0
25.0,20.0
25.0,2.0
25.0,48.0
25.0,31.0
25.0,44.0
25.0,12.0
25.0,30.0
26.0,19.0
26.0,39.0
26.0,35.0
26.0,49.0
26.0,16.0
26.0,21.0
26.0,17.0
26.0,31.0
26.0,1.0
26.0,7.0
26.0,43.0
27.0,41.0
27.0,8.0
27.0,10.0
27.0,37.0
27.0,20.0
27.0,9.0
27.0,24.0
28.0,10.0
28.0,19.0
28.0,20.0
28.0,3.0
28.0,8.0
28.0,6.0
28.0,37.0
28.0,47.0
28.0,49.0
28.0,23.0
28.0,26.0
28.0,13.0
28.0,25.0
29.0,39.0
29.0,40.0
29.0,28.0
29.0,41.0
29.0,33.0
29.0,22.0
30.0,32.0
30.0,16.0
30.0,41.0
30.0,10.0
30.0,14.0
30.0,18.0
30.0,13.0
30.0,1.0
30.0,8.0
31.0,3.0
31.0,46.0
31.0,4.0
31.0,34.0
31.0,7.0
31.0,41.0
31.0,2.0
31.0,6.0
31.0,36.0
31.0,17.0
31.0,44.0
31.0,40.0
31.0,43.0
31.0,16.0
32.0,40.0
32.0,43.0
33.0,21.0
33.0,50.0
33.0,10.0
33.0,49.0
33.0,18.0
33.0,45.0
34.0,14.0
34.0,33.0
34.0,17.0
34.0,30.0
35.0,7.0
35.0,44.0
36.0,4.0
36.0,33.0
36.0,16.0
36.0,37.0
36.0,48.0
36.0,34.0
36.0,3.0
36.0,1.0
37.0,2.0
37.0,42.0
37.0,32.0
37.0,36.0
38.0,40.0
38.0,19.0
38.0,17.0
38.0,25.0
38.0,4.0
38.0,41.0
38.0,47.0
38.0,30.0
38.0,37.0
38.0,26.0
38.0,50.0
38.0,27.0
39.0,29.0
39.0,45.0
39.0,37.0
39.0,46.0
40.0,5.0
40.0,27.0
40.0,22.0
