sender,receiver,message
24,1,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,10,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,12,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,16,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,17,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
27,24,why in the world do you come into my business and immediately remove pull down your face mask why we are still in the middle of a pandemic
40,24,some of these people s face masks be looking like they stink so bad using the same mask for the past days
41,24,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help
51,24,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,1,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,10,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,12,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,16,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,17,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
27,24,This seems like the type of thing to do for those who are afraid to do it.
40,24,i was at a party today and he brought my car and got a smile on my face when i said that he wore his mask everywhere
41,24,i didn't say that i would like to be a member of any state appoint people for their community senate
51,24,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,1,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,10,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,12,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,16,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,17,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
27,24,The ACA is a constitutional amendment for putting masks in the ballot. I would wear masks as long as I'm not prone to sickness and/or death. It's probably better than nothing.
40,24,It sounds like you aren't going to get the sarcasm that the title of this sub tries to convey.
41,24,"As a Republican, I do not think that the Constitution actually states that the people with masks cannot be a member of a state senate. Unlike Democrats, the Constitution states that people cannot be elected as senators. And the Constitution states that the legislature can't appoint a member of a state senate (ie., in California, for example)"
51,24,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,1,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,10,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,12,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,16,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,17,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
27,24,"""Making masks isn't a constitutional amendment, it's a constitutional amendment that allows people to be safe, so long as they have the health insurance they need"""
40,24,">I'm glad he isn't making a bunch of comments, because this isn't a good idea. He's just making a point. He can stop. He needs to stop. He can do something so that people can just ignore him and keep them in their life."
41,24,I've also been to a lot of anti-semetic places. I live in the US. And I'm in the US.
51,24,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,1,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,10,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,12,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,16,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,17,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
27,24,The first thing you need to know about this situation is that it seems like you've always wondered why people would get embarrassed about wearing a mask. It sounds like your mother has been going around asking for this as a way to reassure you that you're the one bringing you up and that you should stop being an asshole to her.
40,24,He doesn't really care for you.
41,24,"If they do not follow the same rules, it is considered a racist situation."
51,24,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,1,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,10,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,12,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,16,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,17,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
27,24,I think it's a tad creepy to point out that the masks in my video are used because they prevent people from getting sick. It is also a tad disgusting and potentially dangerous to you. It's pretty fucking ridiculous.
40,24,You're young? What's your favorite'smoking game'?
41,24,"This isn't about racism, it's about the lack of equality of opportunity for people, and the lack of equality for whites. That is just what I'm asking you to do. If it makes you feel any better about a person, then no."
51,24,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,1,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,10,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,12,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
24,16,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
