sender,receiver,message
7,3,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help
11,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
13,7,a special shout out goes to mr londono amp ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya
14,7,can we developed a mask or helmet that will protect us from corona and that everyone would have to wear to go outside for a month or that would allow us to open up the economy again
16,7,please leep your mask on i don t want you to be taken out by a virus that is not gone
20,7,i m so sorry mark but i don t trust this vaccine i understand your concern for the residents of erie county i obey the mask mandate wash and sterilize my hands when returning home from work and elsewhere
31,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
7,3,"As a Texan living in California, I think this idea is just a little weird, I mean, like me or other people who are going to work. Maybe it works in some states, but it can also work elsewhere."
11,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
13,7,I actually thought it was funny that she's wearing a mask to get the hat off her shoulder if she wants to go.
14,7,"That would probably be a good idea. If you had to wear a mask to go outside, it'd actually help prevent the virus and make it worse."
16,7,I'd like to say that the best way to deal with the virus is to wear a mask and not to get a savage cyborg mask.
20,7,"In Florida, there is a tinfoil vaccine and that's just one of many medications that help stop the virus, it's useless and I hate it."
31,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
7,3,"As a Texan living in California, I think this idea is just a little weird, I mean, like me or other people who are going to work. Maybe it works in some states, but it can also work elsewhere. Wearing masks does not help in stopping the virus, it's useless and I hate it."
11,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
13,7,... and then a special shout out goes to Ms. Latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya Please wear a mask amp bend over please wear a mask amp bend over
14,7,"""That would probably be a good idea. If you had to wear a mask to go outside, it'd actually help prevent the virus and make it worse. Why not just go with me?"""
16,7,hey hey hey hey hey hey hey hey hey hey this idiocracy in my head i am so sick of the whole joke Please hear this please he hear this please he hear this.
20,7,"oh man, i troll every troll on reddit."
31,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
7,3,"I am a Texan and my husband lives in a conservative county. He lives in a Republican state. He and I are Texan citizens. We don't even have a texan government, which is basically the governing body of the state.... and then a special shout out goes to Mr. Latorre and Ms. Latorre, we love the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya can we develop a mask or helmet that will protect us from cor"
11,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
13,7,... and then a special shout out goes to Ms. Latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya Please wear a mask amp bend over
14,7,"This will be in response to the apologist in town, not to the guy who just told me that there are things to be done."
16,7,You don't have to wear a mask to go get vaccinated.
20,7,I'm still working on the vaccine in my head right now.
31,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
7,3,I think the best way to deal with the virus is to wear a mask and not to get a savage cyborg mask.
11,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
13,7,CANNOTANSWER) * I have a friend who is allergic to a brittle brittle brittle - a brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle - brittle -
14,7,I'm a new kid and I love the idea of being in the center of a group of people that just aren't the best for each other. I think that's one of the most terrifying things to ever happen to me.
16,7,Your friend has a new song called A Nightmare in the World that has some funny lyrics to it.
20,7,That's one of many reasons why people on this sub aren't wearing masks. They're just an excuse to be afraid of what they can't get away with.
31,7,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
