sender,receiver,message
63,6,huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask
63,23,huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask
63,27,huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask
63,47,huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask
63,60,huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask
78,63,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all
84,63,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday
99,63,huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask
101,63,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
63,6,"Hi, that sounds like a good one. I had a psilocybin patch in my hair. So i took it off"
63,23,Wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask Huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask
63,27,"My father is very religious but he had no idea about this, and so we wore a mask to stop it from spreading."
63,47,"The euphoria of that ad is based on the fact that you can be wearing a mask on a cold day or day and if he wasn't there, you were in the sacramento."
63,60,"He's the man. We should wear a mask, and that means being able to tell when a person is sick or just not listening to him. He's the man. The government isn't supposed to use his mask for anything, they're supposed to wear a mask."
78,63,I never took a work trip so I'm glad you were there!
84,63,"I'm a little late, but I'll take the first test I can get to the police station tomorrow and bring a test to the phd clinic. :)"
99,63,"i am quite shocked by this, but i thought wearing a mask in thanksgivingparade would have been so powerful and such an endorsement of healthcareheroes wearamask huge covid fail to have santa not wearing a mask would have been so powerful and such an endorsement of healthcareheroes wearamask"
101,63,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
63,6,It's weird the media has got a lot of things against the santa hat. I know I can't believe there are so many of these things right now.
63,23,Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask Huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask.
63,27,OP... i read that as the guy who is wearing a mask
63,47,Is wearing a mask part of the measures deployed by the government to aid in stopping the spread of a virus?
63,60,"Apparently, that's the reason everyone is in the first place:"
78,63,Those things seem to be an understatement here. Specifically I think it is the antiseptic policy to avoid it.
84,63,What if I wear a mask with a shirt on in the back? What if I do a run in front of a mirror if it's on your forehead?
99,63,"I think the idea of not wearing a mask is a big deal. I wish my friends and family would have a reason to not wear masks, but I wouldn't."
101,63,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
