source,target
1,97
1,35
1,46
1,100
1,50
1,91
1,66
1,11
1,13
1,85
1,24
1,94
1,34
1,8
1,74
1,20
1,43
1,17
1,40
1,77
1,89
1,81
1,67
1,41
1,79
1,36
1,38
1,48
1,26
2,6
2,93
2,15
2,92
2,13
2,47
3,72
3,16
3,41
3,51
3,69
3,12
4,70
4,98
4,78
4,58
4,39
4,18
4,24
4,97
4,29
4,82
4,96
4,65
4,42
4,52
4,22
4,100
4,32
4,36
4,67
4,84
4,64
4,9
5,81
5,64
5,41
5,79
5,58
5,51
5,39
5,61
5,91
5,3
5,63
5,55
5,18
5,71
5,8
5,10
5,33
5,84
5,73
5,100
5,49
5,35
5,11
5,6
6,67
6,98
6,79
6,75
6,25
6,82
6,22
6,43
6,3
6,57
6,21
6,64
6,4
6,19
6,61
6,13
6,100
6,29
6,92
6,30
6,69
6,34
6,41
6,65
6,51
6,83
6,60
6,91
6,58
6,31
7,23
7,3
7,52
7,49
7,39
7,34
7,63
7,65
7,75
7,22
8,93
8,2
8,73
8,40
8,37
8,6
8,16
8,96
8,64
8,74
8,28
8,100
8,56
8,18
8,17
8,97
8,50
8,13
8,42
8,86
8,85
8,79
8,15
8,65
8,99
8,25
8,19
9,8
9,27
9,26
9,49
9,18
9,89
9,85
9,4
9,1
9,42
9,5
9,84
9,37
9,29
9,45
9,75
9,61
9,94
10,42
10,40
11,54
11,86
11,46
11,7
11,61
11,64
11,57
11,17
11,5
11,48
11,89
11,79
11,65
11,27
11,62
11,36
11,9
11,39
11,15
11,24
11,91
11,70
11,2
11,95
11,98
11,6
11,69
11,94
11,73
11,87
12,96
12,69
12,25
12,32
12,20
12,3
12,78
12,62
12,84
13,94
13,17
13,41
13,39
13,34
14,93
14,64
14,59
14,88
14,51
14,91
14,8
14,66
14,13
14,47
14,21
14,72
14,44
14,71
14,11
14,84
14,63
14,81
14,82
14,99
14,1
15,5
15,96
15,71
15,80
15,70
15,50
15,63
15,82
15,51
15,25
15,16
15,59
15,19
15,12
15,89
15,100
15,65
15,78
15,90
15,37
15,34
15,47
15,23
15,17
15,67
15,79
15,55
15,74
16,44
16,42
16,43
16,62
16,5
16,15
16,34
16,77
16,65
16,3
16,98
16,7
16,25
16,67
16,93
16,35
16,38
16,57
16,2
16,48
16,63
16,73
16,10
16,32
16,89
16,14
17,56
17,25
17,43
18,14
18,30
18,94
18,50
18,88
18,3
18,91
18,65
18,7
18,52
18,42
18,83
18,37
18,63
18,66
18,28
18,93
18,22
18,92
18,71
18,76
18,47
18,82
18,9
18,34
18,51
19,61
19,100
19,50
19,81
19,85
19,91
19,11
19,28
19,67
19,21
19,16
19,74
19,94
19,80
19,69
19,89
19,40
19,65
19,14
19,57
19,33
19,12
19,71
19,68
19,39
19,70
20,9
21,46
21,26
21,20
21,1
21,86
21,7
21,83
21,92
21,19
21,53
21,6
21,98
21,85
21,51
21,12
21,8
21,68
21,52
22,83
22,93
22,64
22,36
22,52
22,45
22,90
22,39
22,26
22,88
22,67
22,34
22,30
22,70
22,41
22,63
22,42
22,76
22,12
22,82
22,11
23,28
23,5
23,16
23,57
23,69
23,58
23,15
23,48
23,89
23,14
23,31
23,4
23,34
23,18
23,8
23,86
23,56
23,52
23,92
23,21
23,76
23,45
23,62
23,82
23,10
23,96
23,66
23,80
23,81
24,43
24,94
24,91
24,25
24,53
24,22
24,67
24,31
24,11
24,16
25,24
25,79
25,51
25,2
25,70
25,100
25,67
25,64
25,93
25,31
25,39
25,96
25,34
25,57
25,90
25,91
25,99
25,15
26,95
26,33
26,85
26,81
26,1
26,8
26,38
26,54
26,76
27,39
27,3
27,82
27,48
27,13
27,29
27,62
27,68
27,14
28,81
28,67
28,66
28,27
28,23
28,22
28,7
28,98
29,13
29,11
29,71
29,90
29,77
29,47
29,82
29,80
30,25
31,38
31,96
31,3
31,34
32,83
32,7
32,91
32,79
32,62
32,66
32,85
32,52
32,10
32,56
32,19
32,92
32,87
32,67
32,81
32,99
32,57
33,2
33,15
33,59
33,7
33,50
33,40
33,75
33,16
33,88
33,81
33,24
33,30
