sender,receiver,message
4,36,why in the world do you come into my business and immediately remove pull down your face mask why we are still in the middle of a pandemic
16,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
17,36,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask
21,36,according to my student yesterday the china virus is a hoax and mask mandates are a way for the government to control all them lib tards sometimes all this is too much
30,36,i stay home other than the ride to chemo amp when we stop for gas i sit in the car cussing all the non mask wearers do they not care who they may have already killed or may kill i m fighting for my life with st breast cancer don t kill me with covid i want the vaccine
35,36,i did this with one lone mask less man in a ballot recount center
36,6,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
36,19,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
36,24,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
36,27,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
36,29,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
36,30,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
36,33,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
36,37,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
36,42,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
36,44,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
36,46,i was downtown dallas yesterday and i only saw one person with a mask it s just a crying shame
43,36,your mask go over your nose
49,36,masks are nothing but a placebo unless you have a surgical grade mask there really is no point even the sainted dr faucci admitted it at the beginning of all this i am pro vaccine my family are all cleared but the new idea that all the children need to be shot now is idiocy
4,36,A little girl who is now a coach at the local university has been given a mask on her first day to the practice. It's quite a privilege to be a coach.
16,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
17,36,"""I vote Biden you will be singing with a mask on because he will make masks mandatory for life a muffled Sebastian Bach i wouldn t pay to see you now and certainly not pay to see you with a mask on trump if you vote Biden you will be singing with a mask on because he will make masks mandatory for life a muffled Sebastian Bach i wouldn t pay to see you with a mask on Trump"
21,36,So how do you say you did this?
30,36,Tell me about your vote for Romney.
35,36,'i think it was cool to see you wearing a mask and fucking yourself a little.'
36,6,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
36,19,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
36,24,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
36,27,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
36,29,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
36,30,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
36,33,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
36,37,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
36,42,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
36,44,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
36,46,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
43,36,I’m going to go buy you a gun.
49,36,Well the masks don't stop it.
4,36,I just drew a picture of myself reeking a huge awe of a mask on coaching baseball practice today.
16,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
17,36,"Yes, it is. But you do have to take your mask off until after the vote if you want to see the effects on children."
21,36,Why are you calling this an infidel? Because this is an infidel.
30,36,"Well, if you really don't want a vaccinated person, i think you should. Obviously you don't like to go to the doctor. And if you don't, then you should not be allowed to have them. What if you don't get the vaccine yourself? Do you feel like the first person who was in the room was hysterical with it?"
35,36,"No one was wearing masks while working out at the gym today. They were tamed to remove them. I don't think they're really a privilege, but they were a privilege. They were a privilege to be given a mask on practice."
36,6,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
36,19,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
36,24,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
36,27,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
36,29,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
36,30,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
36,33,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
36,37,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
36,42,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
36,44,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
36,46,"Wait a damn min we gotta wear mask while working out at the gym i did this with one lone mask less man in a ballot recount center says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn't i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe Wearing masks does not help in stopping the virus,"
43,36,"The people who think of that aren't a threat to the public are probably a danger to the public. But that doesn't mean that the government should not be involved in this ordeal, but that if a group of people isn't involved in this ordeal they should be concerned about their safety, and not just to the public.''"
49,36,... I'm against the new mask and the way they are going. I'm against the new mask and the way they are going.
4,36,"If it's not an evil mask, it is an unhelpful way of going about it."
16,36,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
17,36,"I am not a politician, but I do get a feeling that I'm being a bitch and that the masks aren't helping my family or the government. I think it's something people can do to combat a pandemic, especially if they're on a mask in the office."
21,36,"> [Billy White](https://www.nih.gov/news/events/events/events/events/events/events/events/events/events) is pretty shady and funny. I like to believe that when I think about a teen that might be wearing a mask to show off the fucking virus to young adults, it can make me feel terrible about myself. What if I told my brother to not go to party and his dad showed him the gun"
30,36,"I think the 'hysterical' person is just using a slur to create a 'puppet' reaction, so maybe he's right."
35,36,"I don't really have much of a problem with this, though. This is like saying that a lot of the government can do shady stuff, but at the same time it's just not the best way."
36,6,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
36,19,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
36,24,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
36,27,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
36,29,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
36,30,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
36,33,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
36,37,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
36,42,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
36,44,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
36,46,What is the significance of having a face mask? Is it for the public benefit? Is it to the public interest? Or maybe even to the government to have it on you?
43,36,"A new, unproven, shady law is like the [Lenny White](https://www.nih.gov/news/events/events/events/events/events/events) is pretty shady and funny. I like to believe that when I think about a teen that might be wearing a mask to show off the fucking virus to young adults, it can make me feel terrible about myself. What if I told my brother to not go to party and his dad showed"
49,36,A man who has been in this pandemic and a man who is still alive and has not been in the middle of it is in the middle. He has not even been in the middle.
