agent,agent_preference,num_connections,agent_connections,influence_status
1,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,3,"[28, 29, 21]",False
2,this month i personally know people that have gotten covid one of them past away this week please wear a mask,2,"[20, 24]",False
3,don t go to a party with a house full of ppl not wasting mask during a pandemic,3,"[18, 30, 12]",False
4,continuing to mask up amp distance reduces the transmission of the virus amp if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,7,"[22, 27, 18, 5, 25, 12, 21]",False
5,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,7,"[12, 10, 7, 9, 28, 16, 15]",False
6,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",9,"[5, 28, 3, 2, 20, 18, 14, 22, 1]",True
7,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,8,"[10, 23, 19, 17, 25, 8, 20, 3]",False
8,thanks ctl stay safe friends and wear mask if need to go out,5,"[18, 29, 3, 2, 14]",False
9,mask protect other people he only cares about himself,6,"[21, 24, 8, 29, 25, 14]",False
10,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,8,"[27, 28, 14, 12, 26, 15, 4, 22]",False
11,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",9,"[24, 30, 2, 29, 18, 25, 7, 13, 19]",True
12,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,2,"[13, 17]",False
13,a special shout out goes to mr londono amp ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya,6,"[9, 7, 26, 21, 24, 4]",False
14,can we developed a mask or helmet that will protect us from corona and that everyone would have to wear to go outside for a month or that would allow us to open up the economy again,2,"[7, 18]",False
15,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe,4,"[23, 4, 3, 22]",False
16,please leep your mask on i don t want you to be taken out by a virus that is not gone,6,"[9, 2, 7, 18, 5, 15]",False
17,i don t often have time to shave my face stubble in the morning luckily coronavirus is very accepting of mask culture so actually it s required,2,"[20, 10]",False
18,hey i just saw you are running miles across florida right now curious if you would share what is the route im in orlando and would love to come run with you even if just for a mile i d wear a mask and keep distance,1,[14],False
19,open for public play saturdays and sundays pm pm practicing social distancing remember to wear your face mask playpaintball publicplay socialdistancing familytime paintball openforbusiness nvp sports park,7,"[24, 15, 11, 20, 26, 6, 1]",False
20,i m so sorry mark but i don t trust this vaccine i understand your concern for the residents of erie county i obey the mask mandate wash and sterilize my hands when returning home from work and elsewhere,5,"[7, 25, 15, 24, 14]",False
21,excellent example of the importance and reliance of everyone in the community to do their part the people that put themselves at risk everyday so you can have food safely produced and delivered to you to eat it s not hard to wear a mask on a run,6,"[17, 25, 22, 10, 20, 27]",False
22,i flew for the first time since march it was mostly fine but some folks wore their masks as chin slings i have glasses and wore my mask over my nose for hours and they didn t fog up i also had plenty of oxygen over the nose people,4,"[25, 17, 9, 20]",False
23,we keep hearing about how most kids quickly recover from covid pretty hard to recover from this wear a mask and if you can get vaccinated,4,"[24, 6, 4, 16]",False
24,please wear a mask amp bend over,5,"[16, 25, 2, 13, 26]",False
25,walking out of the grocery store in florida and i m taking my mask off as i just walk out some old lady walking in looks at me and goes thought this was a free country just laughed at her go get your groceries and be quiet lady,4,"[12, 20, 10, 6]",False
26,i like wearing a mask because i can go out in public with a fat lip in and nobody knows,6,"[4, 11, 21, 5, 1, 20]",False
27,huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask,7,"[25, 20, 22, 23, 16, 1, 18]",False
28,really interesting in light of people s resistance to wear a mask both the mask and the shopping cart are measurements of empathy,6,"[2, 9, 13, 18, 19, 24]",False
29,as uncomfortable as it may be especially with the conditions we work in i d rather adapt wear the mask and survive than contract the virus bc of what s more comfortable,4,"[10, 21, 9, 1]",False
30,another friendly reminder to vaccinate your kids wear a mask don t be racist and don t support d nald tr mp,1,[25],False
31,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",9,"[20, 21, 25, 7, 26, 17, 28, 14, 27]",True
