source,target
1.0,28.0
1.0,29.0
1.0,21.0
2.0,20.0
2.0,24.0
3.0,18.0
3.0,30.0
3.0,12.0
4.0,22.0
4.0,27.0
4.0,18.0
4.0,5.0
4.0,25.0
4.0,12.0
4.0,21.0
5.0,12.0
5.0,10.0
5.0,7.0
5.0,9.0
5.0,28.0
5.0,16.0
5.0,15.0
6.0,5.0
6.0,28.0
6.0,3.0
6.0,2.0
6.0,20.0
6.0,18.0
6.0,14.0
6.0,22.0
6.0,1.0
7.0,10.0
7.0,23.0
7.0,19.0
7.0,17.0
7.0,25.0
7.0,8.0
7.0,20.0
7.0,3.0
8.0,18.0
8.0,29.0
8.0,3.0
8.0,2.0
8.0,14.0
9.0,21.0
9.0,24.0
9.0,8.0
9.0,29.0
9.0,25.0
9.0,14.0
10.0,27.0
10.0,28.0
10.0,14.0
10.0,12.0
10.0,26.0
10.0,15.0
10.0,4.0
10.0,22.0
11.0,24.0
11.0,30.0
11.0,2.0
11.0,29.0
11.0,18.0
11.0,25.0
11.0,7.0
11.0,13.0
11.0,19.0
12.0,13.0
12.0,17.0
13.0,9.0
13.0,7.0
13.0,26.0
13.0,21.0
13.0,24.0
13.0,4.0
14.0,7.0
14.0,18.0
15.0,23.0
15.0,4.0
15.0,3.0
15.0,22.0
16.0,9.0
16.0,2.0
16.0,7.0
16.0,18.0
16.0,5.0
16.0,15.0
17.0,20.0
17.0,10.0
18.0,14.0
19.0,24.0
19.0,15.0
19.0,11.0
19.0,20.0
19.0,26.0
19.0,6.0
19.0,1.0
20.0,7.0
20.0,25.0
20.0,15.0
20.0,24.0
20.0,14.0
21.0,17.0
21.0,25.0
21.0,22.0
21.0,10.0
21.0,20.0
21.0,27.0
22.0,25.0
22.0,17.0
22.0,9.0
22.0,20.0
23.0,24.0
23.0,6.0
23.0,4.0
23.0,16.0
24.0,16.0
24.0,25.0
24.0,2.0
24.0,13.0
24.0,26.0
25.0,12.0
25.0,20.0
25.0,10.0
25.0,6.0
26.0,4.0
26.0,11.0
26.0,21.0
26.0,5.0
26.0,1.0
26.0,20.0
27.0,25.0
27.0,20.0
27.0,22.0
27.0,23.0
27.0,16.0
27.0,1.0
27.0,18.0
28.0,2.0
28.0,9.0
28.0,13.0
28.0,18.0
28.0,19.0
28.0,24.0
29.0,10.0
29.0,21.0
29.0,9.0
29.0,1.0
30.0,25.0
31.0,20.0
31.0,21.0
31.0,25.0
31.0,7.0
31.0,26.0
31.0,17.0
31.0,28.0
31.0,14.0
31.0,27.0
