sender,receiver,message
25,12,walking out of the grocery store in florida and i m taking my mask off as i just walk out some old lady walking in looks at me and goes thought this was a free country just laughed at her go get your groceries and be quiet lady
25,12,"This is an awesome video. Do you love the dreaded, ugly santa masks?"
25,12,... so you are thinking about a santa mask that's a teddy bear?
25,12,"I don't like the santa one. A bit of the rap idiocy: You seem to have an innate ignorance of the facts. Wearing masks does not help in stopping the virus, it's useless and I hate it."
25,12,"The thing is, I'm a very proud rapper. I never had a problem with wearing a mask and i was going to ask if I should go in there and ask him if he should wear it. That would make me sad and he said I need to do the same."
25,12,"> ""I'm gonna be going to a good rap festival and I will be happy that my friends and I aren't wearing the same mask."
25,12,"I'm really going to have to read your book, I didn't know it was a title, eh?"
25,12,I've just read the article.
25,12,"That's a pretty good title for the topic, though."
25,12,I don't know why you would think so.
25,12,That's a really interesting title for a post about what makes it interesting:
