agent,agent_preference,num_connections,agent_connections,influence_status
1,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,5,"[59, 40, 75, 63, 77]",False
2,this month i personally know people that have gotten covid one of them past away this week please wear a mask,19,"[85, 88, 98, 21, 64, 40, 78, 29, 47, 24, 33, 55, 84, 28, 77, 48, 52, 66, 82]",False
3,don t go to a party with a house full of ppl not wasting mask during a pandemic,9,"[64, 67, 85, 45, 20, 59, 77, 30, 1]",False
4,continuing to mask up and distance reduces the transmission of the virus and if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,27,"[61, 80, 17, 5, 20, 70, 46, 58, 9, 59, 33, 50, 41, 64, 90, 22, 87, 39, 66, 57, 63, 75, 49, 26, 24, 52, 44]",False
5,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,29,"[96, 12, 84, 59, 79, 48, 26, 61, 51, 20, 45, 46, 53, 35, 56, 33, 23, 34, 7, 44, 24, 77, 73, 66, 47, 100, 65, 78, 31]",False
6,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all,8,"[71, 26, 36, 38, 84, 3, 41, 81]",False
7,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,8,"[99, 33, 28, 95, 69, 93, 3, 49]",False
8,thanks ctl stay safe friends and wear mask if need to go out,20,"[30, 15, 44, 40, 32, 14, 64, 43, 82, 86, 16, 90, 37, 41, 7, 71, 24, 6, 36, 80]",False
9,mask protect other people he only cares about himself,22,"[50, 49, 67, 1, 4, 69, 40, 10, 24, 39, 71, 6, 96, 66, 28, 23, 12, 85, 75, 33, 81, 22]",False
10,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,23,"[57, 58, 54, 89, 81, 99, 43, 31, 85, 2, 53, 35, 20, 41, 97, 50, 4, 75, 16, 70, 24, 21, 48]",False
11,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,15,"[9, 47, 44, 26, 4, 65, 58, 85, 1, 24, 22, 49, 38, 45, 41]",False
12,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,13,"[72, 43, 17, 81, 40, 13, 36, 68, 91, 56, 53, 39, 19]",False
13,a special shout out goes to mr londono and ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya,17,"[57, 66, 5, 78, 40, 25, 48, 35, 19, 26, 30, 95, 81, 28, 42, 24, 55]",False
14,can we developed a mask or helmet that will protect us from corona and that everyone would have to wear to go outside for a month or that would allow us to open up the economy again,27,"[68, 60, 41, 91, 1, 52, 82, 47, 93, 95, 65, 86, 92, 70, 80, 50, 7, 63, 23, 74, 59, 76, 32, 45, 44, 28, 84]",False
15,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe,30,"[82, 54, 70, 99, 7, 6, 33, 22, 42, 95, 53, 71, 89, 79, 27, 20, 43, 10, 72, 66, 25, 18, 85, 49, 67, 75, 40, 46, 39, 51]",False
16,please leep your mask on i don t want you to be taken out by a virus that is not gone,12,"[66, 92, 57, 1, 86, 60, 54, 97, 67, 20, 10, 2]",False
17,i don t often have time to shave my face stubble in the morning luckily coronavirus is very accepting of mask culture so actually it s required,4,"[63, 20, 9, 10]",False
18,hey i just saw you are running miles across florida right now curious if you would share what is the route im in orlando and would love to come run with you even if just for a mile i d wear a mask and keep distance,29,"[10, 29, 83, 13, 53, 7, 63, 71, 82, 45, 98, 15, 37, 32, 81, 52, 50, 65, 59, 77, 95, 20, 39, 9, 86, 36, 44, 54, 6]",False
19,open for public play saturdays and sundays pm pm practicing social distancing remember to wear your face mask playpaintball publicplay socialdistancing familytime paintball openforbusiness nvp sports park,12,"[3, 98, 53, 6, 83, 44, 77, 45, 43, 67, 54, 63]",False
20,i m so sorry mark but i don t trust this vaccine i understand your concern for the residents of erie county i obey the mask mandate wash and sterilize my hands when returning home from work and elsewhere,15,"[2, 66, 43, 44, 82, 80, 70, 73, 54, 98, 5, 29, 37, 96, 50]",False
21,excellent exandle of the importance and reliance of everyone in the community to do their part the people that put themselves at risk everyday so you can have food safely produced and delivered to you to eat it s not hard to wear a mask on a run,17,"[30, 66, 17, 98, 73, 72, 78, 11, 96, 55, 45, 46, 16, 80, 99, 51, 12]",False
22,i flew for the first time since march it was mostly fine but some folks wore their masks as chin slings i have glasses and wore my mask over my nose for hours and they didn t fog up i also had plenty of oxygen over the nose people,10,"[25, 63, 97, 27, 54, 67, 13, 49, 75, 37]",False
23,we keep hearing about how most kids quickly recover from covid pretty hard to recover from this wear a mask and if you can get vaccinated,15,"[56, 50, 2, 28, 54, 19, 36, 20, 42, 6, 57, 71, 34, 32, 40]",False
24,please wear a mask and bend over,1,[27],False
25,walking out of the grocery store in florida and i m taking my mask off as i just walk out some old lady walking in looks at me and goes thought this was a free country just laughed at her go get your groceries and be quiet lady,5,"[24, 51, 86, 90, 75]",False
26,i like wearing a mask because i can go out in public with a fat lip in and nobody knows,7,"[31, 91, 22, 98, 39, 82, 16]",False
27,huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask,7,"[63, 57, 88, 16, 5, 76, 38]",False
28,really interesting in light of people s resistance to wear a mask both the mask and the shopping cart are measurements of empathy,6,"[10, 68, 41, 96, 50, 75]",False
29,as uncomfortable as it may be especially with the conditions we work in i d rather adapt wear the mask and survive than contract the virus bc of what s more comfortable,1,[40],False
30,another friendly reminder to vaccinate your kids wear a mask don t be racist and don t support d nald tr mp,5,"[88, 23, 82, 90, 36]",False
31,please mask up and maintain social distance people,14,"[82, 90, 36, 92, 34, 84, 62, 47, 26, 91, 55, 45, 22, 86]",False
32,was behind a guy at eleven who was wearing his welders mask he could have just said i forgot it when he didn t have a face mask but instead he put others first you know what you call a person like that a patriot,17,"[10, 92, 47, 91, 23, 6, 44, 52, 20, 66, 85, 72, 36, 71, 79, 48, 33]",False
33,hr sent out an email saying those of us who s fully vaxxed w proof can go maskless again in the office yea i m good i m still wearing my mask,3,"[5, 38, 1]",False
34,as encouraging as this news is please remember that this new cdc guideline still calls for wearing masks in federal facilities including airports mask wearing vaccinated or not is still required at syr and all u s airports,26,"[12, 65, 32, 20, 48, 88, 51, 84, 72, 2, 23, 87, 97, 55, 43, 9, 67, 41, 24, 78, 21, 95, 54, 11, 76, 85]",False
35,nurse from last week thank you kira remember folks wear a mask wash your hands and stay home trying to pretend there is no problem is not a solution portland oregon,30,"[56, 65, 94, 62, 29, 71, 93, 60, 6, 58, 39, 88, 45, 5, 8, 98, 16, 21, 64, 79, 1, 11, 26, 85, 31, 17, 74, 68, 77, 72]",False
36,my favorite thing to do when i see people not wearing a mask is cough as hard as i can right in front of them because the fear in their eyes is always so rewarding,1,[78],False
37,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,20,"[48, 69, 83, 57, 60, 76, 59, 10, 45, 66, 36, 64, 12, 16, 39, 6, 44, 91, 26, 13]",False
38,this month i personally know people that have gotten covid one of them past away this week please wear a mask,9,"[41, 97, 34, 61, 2, 15, 39, 26, 83]",False
39,don t go to a party with a house full of ppl not wasting mask during a pandemic,11,"[95, 52, 68, 46, 80, 31, 91, 14, 88, 67, 57]",False
40,continuing to mask up and distance reduces the transmission of the virus and if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,2,"[17, 78]",False
41,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,19,"[35, 48, 60, 100, 65, 79, 86, 14, 2, 29, 59, 16, 6, 3, 30, 64, 18, 66, 24]",False
42,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all,13,"[79, 92, 49, 20, 30, 90, 3, 54, 47, 82, 27, 31, 24]",False
43,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,2,"[15, 71]",False
