source,target
1,59
1,40
1,75
1,63
1,77
2,85
2,88
2,98
2,21
2,64
2,40
2,78
2,29
2,47
2,24
2,33
2,55
2,84
2,28
2,77
2,48
2,52
2,66
2,82
3,64
3,67
3,85
3,45
3,20
3,59
3,77
3,30
3,1
4,61
4,80
4,17
4,5
4,20
4,70
4,46
4,58
4,9
4,59
4,33
4,50
4,41
4,64
4,90
4,22
4,87
4,39
4,66
4,57
4,63
4,75
4,49
4,26
4,24
4,52
4,44
5,96
5,12
5,84
5,59
5,79
5,48
5,26
5,61
5,51
5,20
5,45
5,46
5,53
5,35
5,56
5,33
5,23
5,34
5,7
5,44
5,24
5,77
5,73
5,66
5,47
5,100
5,65
5,78
5,31
6,71
6,26
6,36
6,38
6,84
6,3
6,41
6,81
7,99
7,33
7,28
7,95
7,69
7,93
7,3
7,49
8,30
8,15
8,44
8,40
8,32
8,14
8,64
8,43
8,82
8,86
8,16
8,90
8,37
8,41
8,7
8,71
8,24
8,6
8,36
8,80
9,50
9,49
9,67
9,1
9,4
9,69
9,40
9,10
9,24
9,39
9,71
9,6
9,96
9,66
9,28
9,23
9,12
9,85
9,75
9,33
9,81
9,22
10,57
10,58
10,54
10,89
10,81
10,99
10,43
10,31
10,85
10,2
10,53
10,35
10,20
10,41
10,97
10,50
10,4
10,75
10,16
10,70
10,24
10,21
10,48
11,9
11,47
11,44
11,26
11,4
11,65
11,58
11,85
11,1
11,24
11,22
11,49
11,38
11,45
11,41
12,72
12,43
12,17
12,81
12,40
12,13
12,36
12,68
12,91
12,56
12,53
12,39
12,19
13,57
13,66
13,5
13,78
13,40
13,25
13,48
13,35
13,19
13,26
13,30
13,95
13,81
13,28
13,42
13,24
13,55
14,68
14,60
14,41
14,91
14,1
14,52
14,82
14,47
14,93
14,95
14,65
14,86
14,92
14,70
14,80
14,50
14,7
14,63
14,23
14,74
14,59
14,76
14,32
14,45
14,44
14,28
14,84
15,82
15,54
15,70
15,99
15,7
15,6
15,33
15,22
15,42
15,95
15,53
15,71
15,89
15,79
15,27
15,20
15,43
15,10
15,72
15,66
15,25
15,18
15,85
15,49
15,67
15,75
15,40
15,46
15,39
15,51
16,66
16,92
16,57
16,1
16,86
16,60
16,54
16,97
16,67
16,20
16,10
16,2
17,63
17,20
17,9
17,10
18,10
18,29
18,83
18,13
18,53
18,7
18,63
18,71
18,82
18,45
18,98
18,15
18,37
18,32
18,81
18,52
18,50
18,65
18,59
18,77
18,95
18,20
18,39
18,9
18,86
18,36
18,44
18,54
18,6
19,3
19,98
19,53
19,6
19,83
19,44
19,77
19,45
19,43
19,67
