agent,agent_preference,num_connections,agent_connections,influence_status
1,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,8,"[93, 59, 100, 38, 50, 76, 81, 58]",False
2,this month i personally know people that have gotten covid one of them past away this week please wear a mask,15,"[76, 59, 64, 78, 7, 91, 48, 11, 20, 29, 80, 3, 16, 53, 95]",False
3,don t go to a party with a house full of ppl not wasting mask during a pandemic,28,"[63, 27, 65, 14, 72, 4, 97, 81, 60, 54, 20, 66, 88, 57, 55, 82, 12, 75, 41, 58, 40, 70, 47, 23, 30, 37, 11, 48]",False
4,continuing to mask up and distance reduces the transmission of the virus and if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,4,"[35, 65, 80, 33]",False
5,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,16,"[2, 59, 46, 80, 3, 83, 12, 19, 82, 51, 44, 24, 63, 67, 49, 37]",False
6,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all,9,"[31, 60, 89, 72, 62, 98, 67, 36, 27]",False
7,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,27,"[61, 42, 75, 99, 77, 91, 16, 76, 29, 95, 32, 45, 49, 79, 56, 54, 13, 59, 25, 93, 78, 64, 68, 53, 89, 35, 94]",False
8,thanks ctl stay safe friends and wear mask if need to go out,10,"[99, 78, 94, 30, 37, 59, 93, 4, 34, 87]",False
9,mask protect other people he only cares about himself,21,"[18, 14, 16, 48, 96, 36, 69, 79, 25, 4, 34, 22, 19, 31, 11, 43, 53, 6, 46, 74, 81]",False
10,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,13,"[6, 56, 89, 54, 82, 16, 48, 9, 57, 19, 32, 21, 31]",False
11,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,13,"[28, 25, 43, 89, 90, 82, 87, 66, 19, 61, 17, 79, 35]",False
12,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,16,"[87, 38, 26, 33, 35, 80, 92, 22, 44, 79, 28, 42, 53, 13, 89, 41]",False
13,a special shout out goes to mr londono and ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya,7,"[64, 84, 85, 41, 24, 80, 88]",False
