source,target
1,93
1,59
1,100
1,38
1,50
1,76
1,81
1,58
2,76
2,59
2,64
2,78
2,7
2,91
2,48
2,11
2,20
2,29
2,80
2,3
2,16
2,53
2,95
3,63
3,27
3,65
3,14
3,72
3,4
3,97
3,81
3,60
3,54
3,20
3,66
3,88
3,57
3,55
3,82
3,12
3,75
3,41
3,58
3,40
3,70
3,47
3,23
3,30
3,37
3,11
3,48
4,35
4,65
4,80
4,33
5,2
5,59
5,46
5,80
5,3
5,83
5,12
5,19
5,82
5,51
5,44
5,24
5,63
5,67
5,49
5,37
6,31
6,60
6,89
6,72
6,62
6,98
6,67
6,36
6,27
7,61
7,42
7,75
7,99
7,77
7,91
7,16
7,76
7,29
7,95
7,32
7,45
7,49
7,79
7,56
7,54
7,13
7,59
7,25
7,93
7,78
7,64
7,68
7,53
7,89
7,35
7,94
8,99
8,78
8,94
8,30
8,37
8,59
8,93
8,4
8,34
8,87
9,18
9,14
9,16
9,48
9,96
9,36
9,69
9,79
9,25
9,4
9,34
9,22
9,19
9,31
9,11
9,43
9,53
9,6
9,46
9,74
9,81
10,6
10,56
10,89
10,54
10,82
10,16
10,48
10,9
10,57
10,19
10,32
10,21
10,31
11,28
11,25
11,43
11,89
11,90
11,82
11,87
11,66
11,19
11,61
11,17
11,79
11,35
12,87
12,38
12,26
12,33
12,35
12,80
12,92
12,22
12,44
12,79
12,28
12,42
12,53
12,13
12,89
12,41
13,64
13,84
13,85
13,41
13,24
13,80
13,88
14,28
14,34
14,86
14,51
14,4
14,83
14,29
14,88
14,15
14,6
14,35
14,64
14,60
14,100
14,87
14,90
14,9
15,3
15,36
15,61
15,88
15,32
15,83
15,56
15,96
15,72
15,20
15,18
15,66
15,91
15,29
15,89
15,14
15,22
15,42
16,61
16,80
16,83
16,99
16,15
16,64
16,59
16,87
16,46
16,81
16,22
16,77
16,66
16,72
16,44
16,41
16,79
16,48
16,92
16,51
16,86
16,21
16,95
16,53
16,45
16,1
16,49
16,100
16,90
16,65
17,19
17,38
17,21
17,61
17,99
17,51
17,65
17,13
17,54
18,84
18,32
18,46
18,38
18,40
18,62
18,16
18,63
18,77
18,3
18,87
18,20
18,92
18,82
18,55
18,23
18,56
18,8
18,12
18,73
18,13
18,61
18,57
18,79
18,67
18,29
18,80
19,98
19,2
19,28
19,45
19,43
19,89
19,23
19,41
19,52
19,74
19,32
19,72
19,35
19,63
19,30
19,65
19,93
19,94
19,79
19,14
19,5
19,64
19,86
20,90
20,100
21,24
21,78
21,68
21,54
21,79
22,1
22,52
22,46
22,15
22,35
22,4
22,21
22,32
22,67
22,11
22,12
22,64
22,5
22,49
22,28
22,43
22,60
22,91
22,34
22,3
22,40
22,47
22,58
22,92
22,42
22,83
22,38
23,90
23,65
23,72
23,14
23,47
23,64
23,96
23,66
23,52
23,18
23,25
23,27
23,26
23,12
23,36
24,51
24,41
25,70
25,79
25,64
25,82
25,5
25,68
25,77
25,51
25,56
25,76
25,22
25,99
25,1
25,6
25,50
25,3
25,73
25,8
25,4
25,11
25,36
25,40
25,66
25,44
25,67
26,92
26,52
26,44
26,8
27,62
27,83
27,52
27,42
27,23
27,4
27,44
27,89
27,12
27,53
27,25
27,39
27,68
27,56
27,20
27,36
27,96
27,73
27,35
27,50
27,32
27,82
27,97
27,40
28,86
28,44
28,35
28,38
29,33
29,44
29,82
29,8
29,84
29,16
29,88
29,13
29,53
29,40
30,72
30,98
30,49
30,24
30,27
30,79
31,64
31,90
31,38
31,78
31,35
31,27
31,55
31,75
31,72
31,62
31,47
31,73
31,2
31,45
31,13
31,16
31,86
31,68
31,95
31,100
31,8
31,61
31,14
31,40
31,58
31,4
31,71
31,23
31,41
32,27
32,66
32,57
32,96
32,67
32,58
32,62
32,100
32,19
32,98
32,59
32,95
32,60
33,2
33,37
33,45
33,75
33,8
34,14
34,54
34,2
34,81
34,24
34,52
34,83
34,87
34,10
34,92
34,82
34,49
34,67
34,65
34,38
34,71
34,22
35,48
35,94
35,22
35,25
35,92
35,23
35,39
35,20
35,5
35,100
35,62
35,14
35,51
35,8
35,77
35,58
35,10
36,41
36,46
36,83
36,35
36,87
36,2
36,96
36,76
36,32
36,11
36,49
36,24
36,73
36,55
36,80
36,69
36,78
36,40
36,25
36,5
36,8
36,63
36,60
36,38
36,94
36,6
36,66
36,58
36,53
36,67
37,29
37,42
37,97
37,45
37,5
37,81
37,30
37,43
37,20
37,24
37,6
37,74
37,89
37,64
37,47
37,96
37,98
37,71
37,88
38,37
38,21
38,94
38,63
38,62
38,11
39,90
39,30
40,45
40,87
40,99
40,14
40,86
40,34
40,78
40,90
40,29
40,63
40,39
40,55
41,43
41,56
41,47
41,48
41,20
41,93
41,3
41,62
41,16
41,35
41,42
41,37
41,6
41,11
41,1
41,98
41,91
41,39
41,59
41,32
41,89
41,45
41,8
41,13
41,97
41,21
41,40
41,94
42,48
43,54
43,33
43,74
43,9
43,18
43,91
43,11
43,29
43,82
43,2
44,27
44,64
44,38
44,74
45,76
45,95
45,57
45,74
45,39
45,90
45,87
45,86
45,81
45,17
45,27
45,64
45,82
45,22
45,26
45,67
45,94
45,52
45,79
45,40
45,2
45,1
45,35
45,38
45,89
45,7
45,100
46,65
46,54
46,73
47,50
47,1
47,77
47,12
47,17
47,78
47,64
47,88
47,54
47,28
47,29
47,94
47,8
47,91
47,49
47,15
47,19
47,60
47,69
47,58
47,100
47,39
47,52
47,86
47,20
47,33
47,4
47,59
48,76
48,83
48,6
48,45
48,64
48,88
48,36
48,42
48,49
48,51
48,56
48,30
48,12
48,39
48,58
48,20
48,87
48,23
48,11
48,65
48,50
48,53
48,97
48,63
48,28
48,89
48,1
48,43
49,8
49,53
49,4
49,85
49,58
49,94
49,47
49,62
49,95
49,30
49,89
49,72
50,54
50,90
50,3
50,18
50,52
50,72
50,10
50,51
50,91
50,66
50,13
50,58
50,5
50,35
50,17
50,88
50,40
50,37
50,19
50,82
50,84
50,63
50,42
50,48
50,94
50,29
51,56
51,29
52,98
52,39
52,91
52,76
52,58
52,21
52,43
52,74
52,24
52,96
52,69
52,14
52,18
52,46
52,33
52,78
52,54
52,49
52,16
52,61
52,64
52,29
52,7
52,53
52,15
52,84
52,31
52,85
53,47
53,62
53,66
53,27
53,43
53,30
53,83
53,33
53,39
53,7
53,8
53,5
53,76
53,41
53,19
53,87
53,77
53,74
54,78
54,35
54,6
54,11
54,74
54,95
54,53
54,21
54,15
54,69
54,92
54,46
54,45
54,80
55,65
55,48
55,59
55,19
55,80
55,20
55,25
55,77
55,46
55,93
55,27
55,62
55,84
55,71
55,11
55,33
55,86
55,16
55,85
55,61
55,78
55,92
55,88
55,14
56,21
56,44
56,54
56,97
57,54
57,58
57,61
57,64
57,3
57,94
57,4
57,89
57,15
57,93
57,38
58,100
58,80
58,52
59,68
59,38
59,63
59,70
59,4
59,37
59,91
59,12
59,87
59,72
59,21
59,58
59,88
60,82
60,31
60,16
60,55
60,22
60,43
60,92
60,32
60,33
60,65
60,93
60,40
60,27
60,71
60,44
60,72
60,4
60,86
60,63
60,15
61,4
61,8
61,58
61,72
61,89
61,65
61,47
61,5
61,29
61,81
61,100
61,55
61,88
61,3
61,84
61,10
