sender,receiver,message
47,28,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion
48,28,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday
73,28,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that
74,28,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
82,28,if you wear a mask outside or in your car alone your gullible and submissive not traits you want to project
91,28,how does the mask make his breath come out of the back of his head
99,28,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that
47,28,You got it. You want the NSA to stop spreading the virus?
48,28,i had my mask on and it didn't look like it was going anywhere
73,28,I don't really know how it all works.
74,28,"Vaccinating people with boosters is the only mandate I would like, but the sd state has a lot to work with."
82,28,Is it an antimicrobial product like a vaccine?
91,28,i can not stand the thought of not wearing a mask in a crowded place
99,28,You can't have a bad time in a community where a public health official is unable to wear a mask. You can only have one bad day in a community where a public health official has a mandate to be wearing a mask.
47,28,"You guys are a huge fan of the NSA. Its really just a joke. I don't know about your comments, but I have read an article a few times that alot of people are still arguing that it does help prevent any health problems. This includes the virus, but not the vaccine."
48,28,"You've got to be a doctor to prevent this disease, right?"
73,28,IANAL but what if the guy wanted to use a mask?
74,28,"What are some states that have a mandatory vaccination program, where there are still no mandates?"
82,28,"I know a man who isn't gullible and submissive, but I've learned to say it's important for his safety. He shouldn't be able to 'feel' his breath coming out of his car, just a mask."
91,28,"IMHO if you were a football coach you'd be a troll. He didn't want to get an AMA or TAX in public, so he could not get an AMA, so they did it anyways."
99,28,I think if someone had an attitude like this I'd be pretty uncomfortable with it because I was afraid they'd get upset and I'd hate to get them involved in the next phase of that conversation.
47,28,"I'm very a big fan of this movie, and can't stop laughing at the lack of any evidence. I can't do a hat or anything like that. Despite the fact that I like wearing masks, I don't think people care enough to wear them because of the fact that they aren't very good for protecting themselves, and aren't so sure that they're the right thing to do if they want to."
48,28,"We have a virus called B. espiron. In order to spread it, you need a mask. A full head mask, and an eye mask."
73,28,> I thought it was funny that he had a hard time breathing due to a mask.
74,28,"I love the video. There are so many interesting topics, and I don't understand what's going on here. It's hard to see why the 'common sense of humor' we are seeing here isn't a positive thing for a guy who doesn't wear a mask. It's a bad idea if you don't like the'sense of humor'. Clearly they're not that good, but they're very different things and they aren't necessarily trying to make people aware that it would be hard to change. It'"
82,28,"I'm a bit of a nerd, but I'm not stupid enough to go out on a limb."
91,28,I have never had a medical problem because of this mask. But when I was a medical student I had to wear a mask for a few days and I had to wear a mask a few days ago.
99,28,"""I was a narcissist who was allergic to a couple of septic shocks and a thigh ache in my teens. I don't understand what the problem is."
47,28,"A lot of Americans are going to think that the government is a threat to their health. I'm not sure the CDC has any scientific evidence to prove that vaccinations are effective, but that's not exactly true."
48,28,"I'm gonna say this is what the whole world needs to see from a policy perspective, but it's not the way it should be. This doesn't happen to us every time we have a virus or an epidemic. If they want to avoid it, they don't have to."
73,28,"> ""I think the idea of wearing a mask for the purpose of saving the economy really that simple."
74,28,"""... because a rapist and a rapist is going to put us in danger and that makes you stupid and bad. I'm sick of TWitchCon and Twitchcon, I'm sick of TwitchCon and TwitchCon."
82,28,Wearing a mask outside is not a crime. It seems that the government is allowing the person wearing a mask to wear anything outside of the car in the car.
91,28,"There's a line in the article that says the helmet is just that, not to help the skunks. That's basically the point of the film."
99,28,">I don't think the government has a ""toy"" for ""sick"" sex? Its about the government, not your masks."
47,28,"My friends said ""that's not the right thing to do if you want to."" I'm trying to help them. They were told by their friends, but we didn't tell them and it wasn't the correct thing to do."
48,28,"I have been in many countries in Asia. It isn't common, but it's not like every nation has a vaccine for it."
73,28,"Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.He's trying to force the person to wear a mask. They have to pay for their masks. They will cost them money, and the cost of the mask is based on who wears them, and not who isn't. You don't have to wear a mask to keep them away."
74,28,I can't be more wrong than this:
82,28,I think it's hard to believe that this is even a question. There isn't a law on the books regarding this.
91,28,"I've been in the news a couple times and I've always been skeptical of how effective a mask is, but I really think it's important to get people to accept it and agree to accept it, even when people are concerned about the impact. It's an interesting way to go to the extent of a lot of people and it's not very helpful to them in this case."
99,28,"The ""toy"" for sex is about the government, not your masks. They have mandates as a vaccinated person with boosters. Because it makes people less prone to contract and vaccinating. Its the ejaculation of the ejaculation and the fear of getting sick, which is what a lot of people don't understand. Its like putting on the mask to protect you from the sun from the sun, and then letting them go."
47,28,I think this is a good response to something I haven't had in a long time. I can't believe people haven't learned from the comments here on this subreddit.
48,28,CANNOTANSWER](http://www.hcs.gov/ccs/publications/css/govs/govs/govs/govs/govs.gov/publications/css.gov/publications/css.gov/publications/govs.gov/govs/govs.gov)
73,28,He's trying to convince people that a'meat allergy' is somehow an excuse to wear a mask. It's a very expensive thing and you'll probably need a much better - mask than an adult.
74,28,"I think the problem here is that the whole issue isn't the'sense of humor'. That it isn't a positive thing because people think it's funny. But to put it simply, they don't have the same sense of humor as you. The point is, they're not being as good as the TWitchcon incident. 'I'm sick of TWitchcon and TWitchcon, I'm sick of TWitchCon and TwitchCon and TwitchCon."
82,28,Wearing a mask outside is a crime in the US.
91,28,"""I have never had a medical problem because of this mask. But when I was a medical student I had to wear a mask a few days ago."
99,28,The government should keep it on the side of the people and tell people that they can't be abused or criticized because it is a joke.
47,28,"I am a doctor and i do not follow a good diet, i am not a doctor."
48,28,"[Sir], you know how the internet works?"
73,28,"Are you saying the government is using the term ""fake"" as a security tool?"
74,28,He could be saying that the only problem with a mask is the fact that he is a dickhead because of what he's doing.
82,28,"The only problem is the government is not getting their way, and it's almost certainly not a crime in the US."
91,28,There is a lot of talking about people being able to have their head removed.
99,28,"That doesn't mean they shouldn't have a job, because of all the laws about the government's anti-vaccination policy."
47,28,"Vaccines are not an effective tool in that respect. The only person who's done that is a politician, but someone who hasn't actually done anything on a health care issue. If they can't help, then they need to talk to a medical doctor."
48,28,A good hat and a mask are both good idea in cases of infection. It's not really the government's job to make a joke.
73,28,This seems like an obvious reference for the government. Do you believe in the federal government?
74,28,The problem here is that the whole issue isn't the'sense of humor'. That it isn't a positive thing because people think it's funny.
82,28,"It isn't a crime in the US, it's a good way to start a conversation. There are plenty of people in the US who aren't gullible and submissive. It seems the only way the government is getting their way is to tell people they need to go outside their car to shit themselves."
91,28,"EPA and NRA have no authority to change the health care system, 'but that's probably why it's a big problem. It's just a bad idea."
99,28,I can't see how this would get any better if people wouldn't take it as a joke. It's probably just because it's not the most important aspect of the article.
47,28,The CDC does not have a mandate to prevent the spread of HIV/AIDS.
48,28,I don't know why anyone's not getting a mask. I think its important to keep it. I'd be upset if someone told me it was a joke.
73,28,Apparently the government is using 'fake' as a security tool.
74,28,"They aren't really doing that to stop the spread of a virus. They are doing so to try and make things funnier, because we aren't doing anything serious or interesting. It's probably better than a lot of things they're talking about."
