source,target
1,52
1,81
1,99
1,74
1,9
1,64
1,29
1,77
1,12
1,38
1,60
1,23
1,18
1,22
1,3
1,76
1,87
1,92
1,89
1,70
2,55
2,48
2,84
2,66
2,11
2,44
2,36
2,16
2,1
2,38
2,62
2,83
2,7
2,31
2,77
2,30
2,78
2,32
2,4
2,28
2,51
2,37
2,22
2,90
2,67
2,18
2,56
2,39
3,46
3,16
3,23
3,91
3,35
3,47
3,27
3,7
3,95
3,96
3,38
3,97
3,31
3,56
3,20
3,59
3,10
3,66
3,61
3,30
3,51
3,17
3,73
3,6
3,9
3,53
4,30
4,32
4,79
4,77
4,9
4,91
4,37
4,40
4,71
4,67
4,42
4,98
5,11
5,38
5,68
5,19
6,23
6,47
6,21
6,98
7,16
7,81
7,21
7,9
7,59
7,41
7,67
7,47
7,52
7,72
7,30
7,4
7,45
7,54
7,62
8,32
8,74
8,99
8,12
8,100
8,86
8,9
8,57
8,38
8,83
8,90
8,21
8,98
8,22
8,85
8,92
8,52
8,80
9,56
9,37
9,24
9,6
9,4
9,70
9,40
9,53
9,7
9,55
9,52
9,43
9,95
9,48
9,74
9,30
9,26
9,47
9,35
9,61
9,11
9,39
9,88
9,98
9,18
10,8
10,31
10,97
10,42
10,19
11,12
11,99
11,28
11,60
12,60
12,77
12,87
12,61
12,63
12,93
12,9
12,7
12,84
12,20
12,22
12,45
12,17
13,12
13,57
13,36
13,83
13,14
13,68
13,73
13,66
13,30
13,17
13,79
13,25
13,93
13,1
13,15
13,75
13,59
13,27
13,48
13,91
13,28
13,97
13,95
13,82
13,19
14,60
14,98
14,6
14,52
14,81
14,34
14,94
14,72
14,3
14,57
14,97
14,100
14,55
14,9
14,78
14,25
14,4
14,21
14,51
14,49
14,62
14,74
14,96
15,32
15,81
15,58
15,50
16,97
16,63
16,24
16,53
16,69
16,43
16,1
16,9
16,40
16,42
16,58
16,48
16,36
16,39
16,55
16,12
16,10
16,7
16,74
16,33
16,2
16,5
17,52
17,64
17,99
17,19
17,96
17,7
17,74
17,6
17,41
17,28
17,23
17,61
17,53
17,93
17,59
17,94
17,86
17,2
17,91
17,83
17,14
17,12
17,15
17,72
17,79
17,89
17,47
18,10
18,66
18,6
18,69
18,82
18,14
18,22
18,74
18,27
18,16
18,96
18,20
18,38
18,50
18,75
18,85
18,73
18,62
18,53
18,89
19,58
19,13
19,82
19,28
19,33
19,71
19,85
19,59
19,76
19,45
19,7
19,93
19,42
19,14
19,43
19,81
19,20
20,46
20,25
20,23
20,29
21,9
21,16
21,70
21,2
21,8
21,75
21,27
21,40
21,72
21,59
21,55
21,74
21,30
21,50
22,90
22,46
22,78
22,93
22,58
22,33
22,35
22,9
22,60
22,17
22,57
22,65
22,67
22,68
22,2
22,85
22,55
22,83
22,45
22,61
22,24
22,96
22,12
22,92
22,80
22,59
22,44
23,39
23,80
23,8
23,18
23,9
23,22
23,36
23,56
23,4
23,27
23,92
23,19
23,87
23,43
23,81
23,86
23,7
23,98
23,34
23,6
23,41
23,64
23,38
23,30
23,44
23,65
24,94
24,99
24,41
24,85
24,13
24,48
24,63
24,51
24,44
24,23
24,72
24,68
24,83
24,45
24,21
24,92
25,82
25,24
25,9
25,37
25,53
25,52
25,68
25,49
25,94
25,81
25,17
25,71
25,30
25,42
25,27
25,89
25,1
25,50
25,83
25,60
25,78
25,14
25,73
25,47
25,54
25,67
25,33
25,40
26,40
26,93
27,12
27,30
27,97
27,14
27,79
27,50
27,25
27,40
27,84
27,11
27,72
27,49
27,90
27,70
27,61
27,69
27,63
27,52
27,55
27,75
27,54
27,8
27,64
27,36
27,28
27,74
27,16
27,26
27,21
28,81
28,90
28,87
29,90
29,98
29,1
29,72
29,86
29,75
30,98
30,76
30,88
30,43
31,25
31,57
31,18
31,87
31,72
31,82
31,5
31,60
31,71
31,93
31,70
31,34
31,55
31,54
31,50
31,79
31,83
32,73
32,62
32,47
32,48
32,59
32,8
32,64
32,65
32,50
32,58
32,35
32,51
32,21
32,14
33,76
33,11
33,60
33,23
33,55
33,81
33,28
33,21
33,89
34,53
34,18
34,26
34,20
34,33
34,17
34,27
34,36
34,72
34,29
35,32
35,6
35,43
35,83
35,5
35,59
35,94
35,34
35,66
35,93
35,49
35,30
35,16
35,3
35,67
35,12
35,45
35,90
35,81
35,75
35,24
35,7
35,55
35,57
35,72
35,18
35,84
35,54
35,91
35,63
36,84
36,23
36,13
36,5
36,39
36,49
36,72
36,1
36,42
36,66
36,67
36,86
37,50
38,82
38,10
38,55
38,68
38,73
38,19
38,59
38,16
38,24
38,54
38,70
38,35
38,84
38,46
38,79
38,20
38,47
38,77
38,5
38,63
38,39
38,71
38,69
38,53
38,88
38,14
39,77
39,95
39,67
40,84
40,48
40,31
40,36
40,41
40,73
40,38
40,61
40,7
40,88
40,85
40,89
40,6
40,67
40,23
40,75
40,68
40,95
40,16
40,83
40,64
40,32
40,99
40,98
41,11
41,17
41,8
41,76
41,39
41,3
41,4
41,29
41,43
41,47
41,92
41,23
41,15
41,75
41,96
41,40
41,100
41,16
41,87
41,18
41,82
41,55
41,6
41,71
41,33
42,29
42,41
42,44
42,56
42,85
42,86
42,27
42,73
43,87
44,27
45,93
45,21
45,11
45,73
45,58
45,57
45,44
45,43
45,80
45,40
45,1
45,61
45,10
45,55
45,48
45,76
45,79
45,22
45,88
45,87
45,34
45,83
45,77
46,84
46,94
46,53
46,61
46,69
46,9
46,27
46,91
46,20
46,86
46,59
46,42
46,12
47,90
47,82
47,15
47,44
47,77
47,70
47,6
47,71
47,92
48,8
48,59
48,64
48,70
48,6
48,98
49,88
49,53
50,51
50,27
50,68
50,42
50,6
50,66
50,23
50,75
50,89
50,3
51,45
51,64
51,63
51,27
51,5
51,22
52,79
52,29
52,100
52,96
52,64
52,33
52,3
52,66
52,61
52,84
52,91
52,20
52,85
52,49
52,38
52,58
52,32
52,4
52,28
52,80
52,51
52,98
52,87
52,41
52,5
52,44
52,18
53,4
53,16
53,87
54,51
54,97
54,67
54,90
55,80
55,84
55,12
55,2
55,48
55,87
55,47
55,39
56,53
56,100
56,41
56,54
56,10
56,13
56,12
56,78
56,67
56,46
56,18
56,82
56,65
56,92
56,1
56,93
56,26
56,29
56,51
57,67
57,90
57,47
57,68
57,35
57,28
58,22
58,87
58,3
58,66
58,82
58,26
58,27
58,89
58,60
58,16
58,32
58,52
58,36
58,13
58,78
58,75
58,33
58,20
58,43
58,100
58,21
58,38
58,86
58,25
58,94
58,34
58,77
58,61
59,62
59,29
59,93
59,100
59,38
59,24
59,58
59,74
59,21
59,22
59,31
59,23
59,7
59,53
59,76
59,84
59,66
59,52
59,72
59,54
59,42
59,14
59,16
59,49
59,41
60,42
60,68
60,79
60,4
60,27
60,57
60,14
61,34
61,51
61,86
61,9
61,93
61,75
61,13
61,79
61,91
61,100
61,8
61,69
62,92
62,86
62,95
62,79
62,99
62,11
62,98
62,77
62,24
62,45
62,40
62,55
62,12
62,3
62,8
62,6
62,28
62,54
62,47
62,75
62,72
62,43
63,11
63,3
63,25
63,62
63,82
63,67
63,72
63,56
63,73
63,34
63,6
63,21
63,53
63,33
63,42
63,86
63,19
63,100
63,37
63,22
63,75
64,3
64,83
64,4
64,75
64,65
64,96
64,28
64,50
64,52
64,2
64,32
64,51
64,5
64,82
64,47
65,73
65,41
65,76
65,6
65,69
65,44
65,7
65,27
65,16
65,26
65,4
65,32
65,67
65,35
65,100
65,12
65,60
65,40
66,21
66,38
66,48
66,12
66,36
66,37
66,40
66,10
66,75
66,92
66,19
66,61
66,23
66,89
66,32
66,29
66,20
67,46
67,94
67,65
67,47
67,14
67,66
67,11
67,80
67,93
67,7
68,29
68,81
68,5
68,57
68,100
68,97
68,91
68,49
68,23
68,8
68,54
68,88
68,60
68,36
68,95
68,70
69,42
69,93
69,89
69,96
69,15
69,43
69,88
69,27
69,35
69,11
69,33
69,17
69,10
69,75
69,76
69,74
70,39
70,51
70,95
70,8
70,48
70,88
70,17
70,7
70,15
70,90
70,47
70,82
70,99
70,69
70,23
70,1
71,49
71,79
71,61
71,82
71,87
72,48
72,9
72,79
72,78
72,17
72,44
72,13
72,54
72,83
72,70
72,23
72,36
72,40
72,59
72,75
72,74
72,22
72,5
72,3
72,84
72,51
72,12
72,11
73,100
74,77
74,72
74,18
74,89
74,87
74,46
74,82
74,83
74,49
74,2
74,33
74,63
74,50
74,48
74,70
74,57
75,78
75,86
75,42
75,79
75,55
75,65
75,93
75,14
75,49
75,33
75,40
75,62
75,89
75,41
75,96
75,94
75,51
75,66
75,28
75,5
75,44
75,95
75,6
75,56
75,11
75,47
75,37
75,34
75,17
75,2
76,16
76,39
76,59
76,58
76,90
76,45
77,11
77,56
77,71
77,52
77,21
77,96
77,10
77,90
77,69
77,26
77,44
77,87
77,33
77,68
77,37
77,58
77,36
77,59
77,55
78,23
78,12
78,37
78,47
78,40
78,60
78,88
78,87
78,89
78,58
78,21
78,14
78,31
78,70
78,77
78,42
78,15
78,94
78,79
78,48
78,33
78,8
78,19
78,5
78,83
78,92
78,65
78,85
79,96
79,85
79,57
79,80
79,55
79,36
79,69
79,54
79,38
79,17
79,20
79,42
80,16
80,44
80,75
80,6
80,97
80,53
80,89
80,72
80,2
80,42
80,70
80,91
80,29
80,50
80,52
80,58
80,18
81,91
81,55
81,32
81,48
81,42
81,79
81,49
81,24
81,99
81,71
81,51
81,98
81,69
81,59
81,41
81,5
81,34
81,43
81,72
81,44
81,68
81,31
81,64
81,50
81,19
81,6
81,65
82,95
82,44
82,11
82,25
82,78
82,32
82,54
82,52
82,97
82,35
82,2
82,49
82,21
82,77
82,27
82,36
83,5
83,87
84,85
84,56
84,2
84,41
84,78
84,39
84,64
84,99
84,69
84,22
84,93
84,58
84,53
84,83
84,54
84,24
84,81
84,51
84,48
84,52
84,44
85,53
85,54
85,11
85,64
85,16
85,22
85,81
85,28
85,2
85,29
85,6
85,83
85,32
85,52
85,41
85,72
85,47
85,24
85,84
85,31
86,29
86,98
86,24
86,36
86,41
86,11
86,18
86,47
86,50
86,13
86,99
86,85
86,30
86,77
86,31
86,22
86,19
86,55
86,17
86,16
86,79
86,76
86,93
86,37
86,57
86,44
86,10
