sender,receiver,message
62,3,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,6,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,8,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,11,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,12,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,24,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,28,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,40,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,43,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,45,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,47,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,54,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
62,55,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
63,62,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things
75,62,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
89,62,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things
93,62,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force
100,62,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that
62,3,[ctrl f] [url=http://twitch.com/index.php](http://twitch.com/index.php/index.php) is a citation.
62,6,"You gotta ask, and be prepared to ask the question again. Is the state requiring everyone to wear a mask?"
62,8,"I know the sound of a shiver, but twitch con and masks is the best thing to happen to me :)"
62,11,I'm going to say that I don't see any reason why I can't wear a mask unless it is in a public space and a twitch con will be taking place.
62,12,Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.
62,24,You have nothing to be hated for putting on your mask - and you do you want to wear your mask - and you are not doing it if you are not sick - and you are not going to be able to keep your shit together - and you do not want to get mad at the same time - and if the state doesn't have any mandates you can hate you for wanting to take a step back - it's a pretty hard thing to do. Getting a mask is not just for a good reason
62,28,"... or, instead, 'we'don't have any mandates for people with boosters."
62,40,Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.
62,43,> i will not go anywhere that requires me to wear a mask
62,45,"Twitchcon is a very similar thing that happened to me. I am in a state of confusion about whether it has mandates, and not a group of people who were forced to wear a mask because I was vaccinated or not."
62,47,"""You can hate me if the state town doesn't have an mandates you can hate me if the state town doesn't have an mandates you can hate me if the state town doesn't have an mandates you can hate me if the state town doesn't have an mandates you can hate me if the state town doesn't have an mandates you can hate me if the state town doesn't have an mandates you can hate me if the state town doesn't have an mandates"
62,54,i have ta go to twitchcon and all of my friends say that twitchcon is an event they want to attend but they can not go to.
62,55,"In my defense, it's ridiculous. I have a lot of problems with being vaccinated with boosters in my hometown of Baltimore and it's really hard to believe that my wife vaccinated me in a state that has a mandate in place. She says she will be vaccinated but she hasn't yet. I don't think she will wear a mask for that, I think she wants it on the way to a vaccinated state, a state i would recommend you see to vaccinated state."
