agent,agent_preference,num_connections,agent_connections,influence_status
1,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,23,"[29, 43, 13, 2, 67, 68, 20, 56, 63, 30, 53, 78, 25, 93, 6, 60, 24, 66, 58, 92, 54, 11, 69]",False
2,this month i personally know people that have gotten covid one of them past away this week please wear a mask,14,"[90, 28, 84, 71, 69, 66, 43, 5, 14, 99, 1, 35, 29, 79]",False
3,don t go to a party with a house full of ppl not wasting mask during a pandemic,10,"[10, 83, 12, 66, 77, 37, 55, 27, 53, 13]",False
4,continuing to mask up and distance reduces the transmission of the virus and if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,9,"[76, 80, 84, 43, 13, 37, 54, 86, 79]",False
5,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,10,"[86, 60, 80, 4, 82, 59, 78, 20, 12, 26]",False
6,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all,15,"[8, 41, 21, 2, 32, 28, 14, 1, 63, 42, 99, 31, 56, 37, 67]",False
7,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,21,"[58, 69, 85, 45, 26, 1, 50, 98, 51, 14, 19, 83, 68, 22, 78, 60, 3, 18, 77, 53, 23]",False
8,thanks ctl stay safe friends and wear mask if need to go out,6,"[56, 53, 25, 45, 88, 80]",False
9,mask protect other people he only cares about himself,16,"[60, 28, 37, 75, 56, 87, 93, 80, 43, 64, 32, 6, 74, 29, 40, 34]",False
10,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,29,"[98, 87, 95, 85, 40, 56, 7, 32, 97, 13, 66, 83, 52, 78, 4, 34, 100, 36, 63, 72, 48, 74, 55, 89, 33, 93, 22, 58, 30]",False
11,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,8,"[64, 97, 1, 24, 32, 57, 13, 40]",False
12,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,10,"[64, 34, 4, 86, 6, 90, 53, 17, 69, 23]",False
13,a special shout out goes to mr londono and ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya,11,"[32, 23, 21, 89, 22, 70, 58, 85, 100, 1, 40]",False
14,can we developed a mask or helmet that will protect us from corona and that everyone would have to wear to go outside for a month or that would allow us to open up the economy again,18,"[33, 82, 78, 4, 89, 83, 57, 7, 10, 19, 65, 31, 28, 21, 61, 34, 63, 67]",False
15,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe,24,"[14, 92, 62, 52, 22, 12, 48, 25, 28, 83, 97, 26, 59, 58, 6, 82, 71, 65, 94, 2, 45, 84, 34, 90]",False
16,please leep your mask on i don t want you to be taken out by a virus that is not gone,18,"[10, 18, 92, 54, 71, 81, 86, 15, 95, 40, 57, 3, 14, 26, 77, 98, 61, 29]",False
17,i don t often have time to shave my face stubble in the morning luckily coronavirus is very accepting of mask culture so actually it s required,14,"[96, 63, 45, 38, 22, 87, 3, 67, 20, 50, 58, 73, 94, 2]",False
18,hey i just saw you are running miles across florida right now curious if you would share what is the route im in orlando and would love to come run with you even if just for a mile i d wear a mask and keep distance,23,"[55, 37, 1, 76, 69, 51, 86, 64, 99, 94, 15, 24, 19, 30, 22, 11, 93, 58, 9, 29, 66, 72, 62]",False
