source,target
1,29
1,43
1,13
1,2
1,67
1,68
1,20
1,56
1,63
1,30
1,53
1,78
1,25
1,93
1,6
1,60
1,24
1,66
1,58
1,92
1,54
1,11
1,69
2,90
2,28
2,84
2,71
2,69
2,66
2,43
2,5
2,14
2,99
2,1
2,35
2,29
2,79
3,10
3,83
3,12
3,66
3,77
3,37
3,55
3,27
3,53
3,13
4,76
4,80
4,84
4,43
4,13
4,37
4,54
4,86
4,79
5,86
5,60
5,80
5,4
5,82
5,59
5,78
5,20
5,12
5,26
6,8
6,41
6,21
6,2
6,32
6,28
6,14
6,1
6,63
6,42
6,99
6,31
6,56
6,37
6,67
7,58
7,69
7,85
7,45
7,26
7,1
7,50
7,98
7,51
7,14
7,19
7,83
7,68
7,22
7,78
7,60
7,3
7,18
7,77
7,53
7,23
8,56
8,53
8,25
8,45
8,88
8,80
9,60
9,28
9,37
9,75
9,56
9,87
9,93
9,80
9,43
9,64
9,32
9,6
9,74
9,29
9,40
9,34
10,98
10,87
10,95
10,85
10,40
10,56
10,7
10,32
10,97
10,13
10,66
10,83
10,52
10,78
10,4
10,34
10,100
10,36
10,63
10,72
10,48
10,74
10,55
10,89
10,33
10,93
10,22
10,58
10,30
11,64
11,97
11,1
11,24
11,32
11,57
11,13
11,40
12,64
12,34
12,4
12,86
12,6
12,90
12,53
12,17
12,69
12,23
13,32
13,23
13,21
13,89
13,22
13,70
13,58
13,85
13,100
13,1
13,40
14,33
14,82
14,78
14,4
14,89
14,83
14,57
14,7
14,10
14,19
14,65
14,31
14,28
14,21
14,61
14,34
14,63
14,67
15,14
15,92
15,62
15,52
15,22
15,12
15,48
15,25
15,28
15,83
15,97
15,26
15,59
15,58
15,6
15,82
15,71
15,65
15,94
15,2
15,45
15,84
15,34
15,90
16,10
16,18
16,92
16,54
16,71
16,81
16,86
16,15
16,95
16,40
16,57
16,3
16,14
16,26
16,77
16,98
16,61
16,29
17,96
17,63
17,45
17,38
17,22
17,87
17,3
17,67
17,20
17,50
17,58
17,73
17,94
17,2
18,55
18,37
18,1
18,76
18,69
18,51
18,86
18,64
18,99
18,94
18,15
18,24
18,19
18,30
18,22
18,11
18,93
18,58
18,9
18,29
18,66
18,72
18,62
19,62
19,4
19,20
19,63
19,21
19,50
19,31
19,30
19,38
19,71
19,87
19,73
19,79
19,95
19,83
19,96
19,13
19,48
19,86
19,49
19,65
19,68
19,42
