sender,receiver,message
5,4,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask
22,5,i flew for the first time since march it was mostly fine but some folks wore their masks as chin slings i have glasses and wore my mask over my nose for hours and they didn t fog up i also had plenty of oxygen over the nose people
23,5,we keep hearing about how most kids quickly recover from covid pretty hard to recover from this wear a mask and if you can get vaccinated
30,5,another friendly reminder to vaccinate your kids wear a mask don t be racist and don t support d nald tr mp
47,5,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion
52,5,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them."
70,5,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things
90,5,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
96,5,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that
5,4,"Ingraham did not get the warning, he said it's restricting our rights to keep us locked inside."
22,5,So the first step is for me to wear a mask.
23,5,Vaccinations are only a federal law that states that adults must wear a mask at the time of an infection.
30,5,Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.
47,5,You can't do anything but a mask. It's useless.
52,5,Its the same thing as getting out of a mask. They eat that.
70,5,The ad is saying people who don't wear masks are in fact more susceptible to a virus than a normal person with a mask. It's very sad to me that a lot of people are now vaccinated and are seeing the truth.
90,5,i have a bad day. i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t have an mandates you can t get mad that an event doesn t have an mandates you can t get mad that an event doesn t have an mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
96,5,Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.Oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that
5,4,Then we get to decide what we want to do with our lives and make sure all of those kids get the right to be safe.
22,5,>The government seems to want to protect people and not protect the public.
23,5,"TWitchcon is the worst one in the U.S., I don't know if that's true for every other state. The state of Ohio is the only state with mandatory masks, but unless you have a vaccinated party in your family, they have a right to be protected by a valid vaccinating law."
30,5,"So, here is the sarcasm: the government tells you not to vaccinate your kids because of this, but because you're not vaccinated."
47,5,> I'm going to say this about twitchcon and masks you can hate me if the state town doesn't have any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask
52,5,The one and only in that case. They're just stupid. You're in the minority.
70,5,This is a very good idea.
90,5,"It's scary how dumb they think all of is are. Little blue ones are completely useless.Exhale smoke while wearing a mask,any mask and you will see the leakage."
96,5,The OP just wrote a post and now this comment is all i hear.
5,4,Vaccinations are only a federal law that states that adults must wear a mask at the time of an infection. You can't do anything but a mask. Its the same thing as getting out of a mask. They eat that.
22,5,"Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.I was there, and if that's what you mean. The president is an idiot. He is an asshole. It doesn't really matter how much you wear your mask. It's really just a mask, but you still have to wear one. Putting on a mask to walk ten feet through a restaraunt and then taking it off when you get to your table is one of the dumbest thing"
23,5,"""It's frightening how dumb they think all of is are."""
30,5,"You mean you have to wear a mask because you're sick and can't breathe in a fluid while you are on the street? Well, your mother is trying to make you think that the US doesn't do anything. The government doesn't have a problem with not having the health care system to address the problems that it does - it's the only way they get them to do their job."
47,5,I'm going to try to explain to you why this is not what the message was:
52,5,"""We're the only people who do not want to wear a mask. Why don't we?"""
70,5,I can't stand this.
90,5,">Is this some kind of thing or a condition that would have prevented your vaccination? I'd say that it sounds like you are a public health professional with boosters and that it is illegal to get in contact with anyone else who is vaccinated."" The problem is not that I don't have one, it's that I have to be able to do the work, but that I can get a vaccine and be able to vaccinate my kids. I don't think it's a very good idea."
96,5,"Isn't he wearing a mask for health reasons like if the virus is spreading through you, your body and you're experiencing an infection?"
5,4,Why is it so bad he needs to get one?
22,5,"In short: ""Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus. I was there, and if that's what you mean.'] (https://www.gov.gov/news/news/emb.html) It's not a nutjob but a fake joke. Essentially, a mask is nothing and has no purpose. It's part of a government initiative to protect people from an outbreak of a virus."
23,5,"I'm not a lawyer, but this guy seems to be joking."
30,5,Why don't you just stop reading?
47,5,"I'm a doctor. My ENTENT was a major issue. I was only just about to get an infected. He was an anti-viral activist, and it's not exactly uncommon for people to wear them. I think that's why there isn't a mask in the US."
52,5,I don't have a mask. I wear it on the weekends. I do it on the weekends.
70,5,I don't know if you are a doctor or spokesman but you are more susceptible to a virus than a normal person with a mask.
90,5,"I don't think it's a good idea. I do think it's a bad idea to snort a cigarette while wearing a mask. I'm a vaccinated person, I'm a vaccinated person with boosters."
96,5,"Well, you know, when I was in elementary school my dad told me he didn't like the fact that he was in a mask for a reason, and he didn't want to say anything, he decided to wear a mask and a hoodie. He said, ""Oh, you can't just wear a mask all day. It's an old rule. In fact, it works. You're a hive mind."" I remember thinking, ""Oops, I don't even see the point in wearing a mask. You"
5,4,I’m gonna call the cops. It’s an insufferable amount of time that we spend talking to people who don’t wear masks.
22,5,"I don't think the president's 'war on AIDS' is true. It is not. If the government was a joke, it would've blown up, and I think we'd've already had this discussion."
23,5,"""I'm not sure why they're calling it a scam, they just haven't come up with something about a virus yet and have to make it up to their own people."
30,5,I'm gonna take a look at this and read it again.
47,5,"I don't know why I was in a mask. If you get sick you don't have a safety issue and if you do you need to wear a mask. But if you get sick you don't have a safety issue. You can't fucking wear a mask in a mask, if you do, you need a mask. So you wear a mask, and you should wear one, because the problem is with people who want to do it, not a mask."
52,5,"If you wear a mask on the weekends, it's not a joke. It's an issue for the people responsible for bringing in HIV/AIDS."
70,5,Wearing a mask is part of the measures deployed by the government to aid in stopping the spread of a virus.
90,5,"I think a lot of people don't realize that they can get an A+ vaccine without being vaccinated, and they probably have the same vaccine as they can get without the A+ and the A + and that's probably a good thing to have for a child. It's actually not very effective, though."
96,5,"I think a lot of people overreact and retort the petty joke, just because people don't understand how to use a mask. The thing with a mask is that it's a way to protect the shit out of people who wear it. It's just a way to keep people from knowing what is happening, so they're really the ones making the joke."
5,4,[NAME] (https://www.gov.gov/news/news/emb.html)
22,5,"The whole ""war on AIDS"" thing has gone on forever. It's so easy to get a sickle and kill someone, but a real life one doesn't need to do that."
23,5,Its kind of strange the only way to protect yourself from a virus is to just have your mask on if you need to get vaccinated.
30,5,"I had to get vaccinated because I was sick, and that was the reason I didn't eat it."
