source,target
1,53
1,29
1,95
1,73
1,91
1,8
1,100
1,4
1,80
1,89
1,45
1,18
2,23
2,72
2,7
2,22
2,76
2,71
2,79
2,65
2,46
2,66
2,87
2,78
2,44
2,100
2,25
2,88
2,40
2,11
2,77
3,81
3,30
3,7
3,80
3,73
3,90
3,94
3,64
3,45
3,35
3,28
3,72
3,70
3,54
3,56
3,25
3,33
3,51
3,17
3,91
3,4
3,66
3,34
3,47
3,21
3,42
3,63
3,8
3,75
4,49
4,1
4,35
4,8
4,23
4,53
5,7
5,36
5,14
5,73
5,100
5,28
5,91
5,35
5,42
5,27
5,77
5,15
5,92
6,48
6,9
6,22
6,80
6,65
6,38
6,98
6,10
6,30
6,21
6,42
6,27
6,61
6,90
6,50
6,46
6,62
6,82
6,26
6,43
6,97
6,87
7,67
7,93
7,71
7,11
7,74
7,22
7,65
7,80
7,76
7,63
7,83
7,82
7,98
7,69
7,47
7,53
7,30
7,6
7,9
7,20
7,35
8,4
8,99
8,47
8,78
8,70
8,57
8,55
8,45
8,30
8,27
8,50
9,62
9,88
9,48
9,69
9,99
9,52
9,14
9,56
9,60
9,47
9,85
9,34
9,15
9,27
9,7
9,95
9,55
9,66
9,73
9,72
9,57
9,28
9,22
9,68
9,76
9,33
9,41
9,74
9,8
9,13
10,75
10,80
10,55
10,76
10,21
10,25
10,94
10,8
10,71
10,26
10,57
10,64
10,67
10,50
10,41
10,4
10,18
10,20
11,44
11,89
11,60
11,54
11,84
11,72
11,90
11,76
11,46
11,100
12,39
12,10
13,2
13,3
13,62
13,53
13,67
13,8
13,95
13,49
13,38
13,97
13,87
13,73
14,52
14,93
14,3
14,39
14,66
14,45
15,81
15,43
15,5
15,47
15,53
15,94
15,10
15,32
15,100
15,63
15,78
15,35
15,85
15,89
15,99
15,88
15,50
15,24
15,64
15,6
15,96
15,38
15,36
15,12
15,51
15,80
16,100
16,5
16,59
16,6
16,86
16,20
16,77
16,94
16,11
16,14
16,93
16,32
16,42
16,37
16,36
16,45
16,48
16,40
16,74
16,65
16,75
16,41
17,91
17,72
17,68
17,15
17,35
17,6
17,79
17,69
17,86
17,41
17,33
17,14
17,61
17,23
17,96
17,11
17,37
17,87
17,89
17,62
18,19
18,99
18,43
18,46
18,67
18,84
18,91
18,7
18,23
18,4
18,86
18,31
18,60
18,74
18,98
18,8
19,67
19,11
19,37
19,4
19,99
19,20
19,55
19,7
19,49
19,30
19,86
19,1
20,93
20,75
20,45
20,31
20,27
20,2
20,64
20,4
20,56
20,19
20,32
20,12
20,47
20,65
20,58
20,74
20,29
21,58
21,56
21,31
21,41
21,99
21,16
21,45
21,69
21,30
21,2
21,83
21,75
21,93
21,74
21,42
21,48
21,17
21,12
21,88
21,51
21,81
21,96
21,76
21,84
21,28
21,49
22,81
22,96
22,21
22,47
22,70
22,60
22,28
22,2
22,56
22,84
22,90
22,18
22,93
22,72
22,10
22,42
22,83
22,99
22,36
22,1
22,37
22,75
22,57
23,64
23,44
23,94
23,69
23,34
23,90
23,39
23,74
23,88
23,27
23,85
23,1
23,37
23,72
23,68
23,73
23,41
23,59
23,50
23,14
23,47
23,95
23,98
23,58
23,56
23,63
24,4
24,57
24,16
24,86
24,50
24,58
24,52
24,89
24,76
24,9
24,87
24,72
24,18
25,44
25,1
25,36
25,91
25,7
25,57
25,83
25,66
25,70
25,46
25,48
25,94
25,86
25,28
25,33
25,29
25,2
25,89
25,98
26,39
26,79
26,64
26,17
26,43
26,14
26,51
26,76
26,99
26,86
26,27
26,6
26,9
26,78
26,68
26,36
26,80
27,60
27,1
27,16
27,53
27,33
27,100
27,12
27,96
27,63
27,37
27,35
27,83
27,38
27,58
27,52
27,97
27,3
27,64
27,18
27,68
27,11
27,31
27,41
27,7
27,71
27,47
28,46
28,96
28,1
28,55
28,44
28,82
28,8
28,53
28,74
28,70
28,24
28,80
28,22
28,2
28,51
28,94
28,85
29,15
29,12
29,53
29,81
29,87
29,96
29,36
29,71
29,88
29,47
29,24
29,62
29,37
29,97
29,55
29,39
29,100
29,14
29,70
29,28
29,98
29,22
29,77
29,79
29,85
29,51
29,86
29,4
29,80
29,68
30,87
30,76
30,37
30,62
30,7
30,61
30,33
30,43
30,54
30,79
30,57
30,49
30,25
30,27
30,80
30,74
30,97
31,46
31,50
31,23
31,51
32,4
32,23
32,26
32,74
32,76
32,18
32,44
32,68
32,78
32,38
32,59
32,91
32,56
32,50
32,83
32,30
32,33
32,45
32,67
32,39
32,43
33,50
33,43
33,93
33,46
33,98
33,48
33,31
33,22
33,73
33,2
33,47
33,63
33,57
33,67
33,77
33,60
33,40
33,51
33,78
33,16
34,16
34,52
34,71
34,7
34,79
34,50
34,15
34,67
34,44
34,35
34,42
35,80
35,15
35,1
35,86
35,46
35,94
35,88
35,10
35,30
35,82
35,45
35,100
35,55
35,60
35,91
35,36
35,57
35,44
35,59
35,92
35,18
35,40
36,80
36,28
36,63
37,57
37,51
37,20
37,75
37,31
37,92
37,72
37,69
37,36
37,59
37,8
37,99
37,96
37,93
37,88
37,25
37,14
37,22
37,68
37,84
38,98
38,35
38,39
38,32
38,64
38,18
38,36
38,23
38,74
38,27
38,48
38,11
38,3
38,67
38,61
38,42
38,53
38,60
38,57
39,80
39,100
39,99
39,85
39,84
39,65
39,35
39,72
39,93
39,59
40,38
40,30
40,58
40,82
40,91
40,51
40,15
40,44
40,63
40,31
40,62
40,64
40,14
40,99
40,50
40,57
41,16
41,26
41,24
41,34
42,44
42,64
42,70
42,75
42,63
42,22
43,89
43,59
43,29
43,37
43,13
43,28
43,73
43,14
43,64
43,87
43,22
43,46
43,94
43,6
43,53
43,2
43,21
43,66
43,39
43,40
43,30
43,19
43,51
43,93
43,20
44,56
44,19
44,95
44,71
44,92
44,87
44,64
44,99
44,69
45,84
45,97
45,7
45,64
45,51
45,22
45,74
45,62
45,39
45,82
45,88
45,100
45,77
45,16
45,34
45,20
45,17
45,66
45,58
45,6
45,32
45,52
45,55
45,60
45,43
45,85
46,36
46,7
46,60
46,97
46,12
46,87
46,1
46,64
46,75
46,47
46,72
47,95
47,25
47,24
47,31
47,9
47,56
47,27
47,77
48,23
48,35
48,73
48,62
48,31
48,66
48,54
48,40
48,84
48,37
48,36
48,32
48,71
49,59
49,58
49,30
49,4
49,90
49,33
49,7
49,3
49,14
49,37
50,80
50,22
50,18
50,11
50,24
50,56
50,74
50,26
50,17
50,47
50,93
50,85
50,42
50,76
50,67
50,36
51,64
51,75
51,62
51,1
51,63
51,7
51,16
51,84
51,31
51,49
51,91
52,5
52,11
52,81
52,67
52,93
52,89
52,80
52,62
52,33
52,16
52,64
52,10
52,6
52,63
52,46
52,44
52,15
52,34
52,92
52,72
52,3
52,85
52,25
52,7
52,50
53,60
53,82
53,47
53,50
53,56
54,48
54,46
54,50
54,51
54,47
54,80
54,12
54,11
54,13
54,53
54,89
55,34
55,21
55,15
55,31
55,84
55,82
55,5
56,16
56,76
56,91
56,54
56,29
56,44
56,48
56,66
56,89
56,73
56,2
56,82
56,18
56,75
56,21
56,7
56,17
56,52
56,35
56,55
56,24
56,4
56,70
56,32
56,13
56,9
56,96
56,60
57,72
57,60
57,36
57,98
57,16
58,36
58,93
58,38
58,66
58,75
58,51
58,77
58,22
58,45
58,42
58,59
58,50
58,48
58,14
58,67
58,55
58,21
58,3
58,57
58,47
58,64
58,73
58,16
58,94
58,68
58,33
58,19
59,1
59,46
59,29
59,41
59,96
59,25
59,26
59,53
59,16
59,64
59,3
59,80
59,5
59,74
59,40
59,43
59,38
59,67
60,68
60,23
60,26
60,56
60,46
60,18
60,30
61,40
61,72
61,49
61,76
61,14
61,70
61,74
61,45
61,22
61,50
61,59
61,84
61,47
61,9
61,99
61,37
61,44
61,32
61,96
61,13
61,83
61,89
61,35
61,39
62,100
62,41
62,23
62,53
62,59
62,66
62,1
62,10
62,38
62,17
62,77
62,70
62,46
62,15
62,30
62,91
62,56
62,78
62,67
62,40
62,6
62,51
62,4
63,90
63,100
63,62
63,74
64,82
64,71
64,37
64,24
64,30
64,35
64,26
64,68
64,8
64,7
64,38
64,46
65,98
66,21
66,56
66,64
66,9
66,59
66,69
66,82
66,25
66,20
66,12
66,26
66,4
66,97
66,86
66,37
66,35
66,42
66,98
66,55
66,60
67,94
67,60
67,54
67,92
67,20
67,87
67,83
67,86
67,13
67,89
67,52
67,37
68,88
68,96
68,9
68,40
68,90
68,26
68,37
68,59
68,91
68,61
68,21
68,78
68,70
68,66
68,93
68,42
68,17
68,29
68,23
68,6
69,26
69,81
69,56
69,3
70,56
70,40
70,69
70,19
70,72
70,54
70,97
70,10
70,95
70,75
70,91
70,32
70,86
70,27
70,8
70,21
70,81
70,63
70,12
70,51
70,34
70,29
70,36
70,25
70,22
70,30
70,80
70,33
70,50
70,43
71,88
71,43
71,63
71,6
71,30
71,16
71,83
71,32
71,27
71,70
71,39
71,26
71,76
71,60
71,84
71,66
71,50
71,22
71,86
72,83
72,54
72,34
72,41
72,6
72,26
72,93
72,8
72,79
72,70
72,25
72,33
72,80
72,76
72,99
72,2
72,57
72,15
72,11
72,92
72,35
72,24
72,88
72,38
72,19
72,98
72,21
72,9
72,100
72,68
73,54
73,95
73,58
73,64
73,8
73,72
73,48
73,35
73,1
73,79
73,36
73,99
73,90
73,89
73,28
73,92
73,38
73,37
74,25
74,51
74,79
74,75
74,49
74,50
74,85
74,96
74,59
74,40
74,7
74,27
74,35
74,36
